bucket,target_slices,actual_busy_frac,predicted_busy_frac,err_pct
0,173,0.2014,0.1295,-35.7
1,86,0.0663,0.0645,-2.7
2-3,173,0.0689,0.0681,-1.1
4-7,379,0.074,0.0735,-0.7
8-15,711,0.0809,0.0838,3.6
16-31,416,0.0925,0.0996,7.6
