label,concurrent_requests,gpu_ns,gpu_share_pct,top_families
qwenvl_r03,1,337236841,3.24,gemv:92.6%;attention:2.2%;memcpy:1.4%;elementwise_other:1.3%
qwenvl_r03,2-3,614219707,5.9,gemm:86.0%;attention:5.3%;gemv:3.2%;memcpy:1.5%
qwenvl_r03,4-7,2153229889,20.7,gemm:84.7%;attention:9.6%;memcpy:1.4%;copy:1.3%
qwenvl_r03,8-15,4065685887,39.08,gemm:70.4%;attention:24.5%;copy:1.3%;memcpy:1.2%
qwenvl_r03,16-31,3244931957,31.19,gemm:58.5%;attention:37.1%;copy:1.2%;memcpy:1.0%
