workload,iteration,wall_ns,segment_sum_ns,segments,gpu_work_ns,cuda_api_ns,conservation_err_ns
react_tool_L,0,239444092,239444092,51,96535444,85764839,0
react_tool_L,1,236800914,236800914,51,96364830,85561273,0
react_tool_L,2,231283356,231283356,51,96219131,85064153,0
react_tool_L,3,234225893,234225893,51,96429621,85366227,0
react_tool_L,4,237510211,237510211,51,96993039,85472120,0
react_tool_L,5,237874807,237874807,51,96795090,85567603,0
react_tool_L,6,259322204,259322204,51,96401043,84139333,0
react_tool_L,7,239263615,239263615,51,96567468,85518857,0
