target,call_id,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts,<dag>,538194.0,602060.4,1547646.9,-65.2,0.0,0.0,
react_moa_mcts,react-plan,8329445.5,9317884.3,10088681.1,-17.4,257022.0,213319.3,20.5
react_moa_mcts,moa-map0,12624309.5,14122411.3,13965278.7,-9.6,432039.0,350188.9,23.4
react_moa_mcts,moa-map1,12624309.5,14122411.3,13867370.3,-9.0,432039.0,355200.0,21.6
react_moa_mcts,moa-map2,12624309.5,14122411.3,13916508.9,-9.3,432039.0,353309.5,22.3
react_moa_mcts,mcts-root,12624309.5,14122411.3,13881113.7,-9.1,432039.0,352566.2,22.5
react_moa_mcts,react-tool,338470.0,378635.6,324736.5,4.2,0.0,0.0,
react_moa_mcts,mcts-actor0,12624309.5,14122411.3,14217567.3,-11.2,432039.0,366699.8,17.8
react_moa_mcts,mcts-actor1,12624309.5,14122411.3,13829699.0,-8.7,432039.0,367387.4,17.6
react_moa_mcts,moa-reduce,12624309.5,14122411.3,13917740.3,-9.3,432039.0,354309.8,21.9
react_moa_mcts,react-answer,10491872.0,11736921.7,11624643.7,-9.7,339818.0,277361.0,22.5
react_moa_mcts,mcts-critic,12624309.5,14122411.3,13833805.9,-8.7,432039.0,365813.1,18.1
