target,call_id,call_kind,matrix_size,process,op_type,op_index,attribution_source,attribution_type_id,template_source_workload,template_samples,est_host_ns,est_gpu_ns
react_moa_mcts,<dag>,dag,,dag_schedule_gap,,,template_scaled,dag||dag_schedule_gap|,planner_debate+react_tool,180,43206.5,0.0
react_moa_mcts,react-plan,llm,768,adapter_dispatch,,,template_scaled,llm|768|adapter_dispatch|,react_tool,40,1229312.5,0.0
react_moa_mcts,react-plan,llm,768,token_preprocess_cpu,,,template_scaled,llm|768|token_preprocess_cpu|,react_tool,40,237513.5,0.0
react_moa_mcts,react-plan,llm,768,host_input_generate,,,template_scaled,llm|768|host_input_generate|,react_tool,40,5093904.5,0.0
react_moa_mcts,react-plan,llm,768,h2d_stage,,,template_scaled,llm|768|h2d_stage|,react_tool,40,179949.0,81264.0
react_moa_mcts,react-plan,llm,768,weight_init,,,template_scaled,llm|768|weight_init|,react_tool,40,149558.5,4991.5
react_moa_mcts,react-plan,llm,768,mir_operator:RMSNormOp,RMSNormOp,6,template_scaled,llm|768|mir_operator:RMSNormOp|RMSNormOp,react_tool,80,247699.5,15709.5
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:AddOp,AddOp,7,template_scaled,llm|768|mir_operator:AddOp|AddOp,react_tool,40,101140.0,1440.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:RMSNormOp,RMSNormOp,8,template_scaled,llm|768|mir_operator:RMSNormOp|RMSNormOp,react_tool,80,247699.5,15709.5
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:LinearOp,LinearOp,10,template_scaled,llm|768|mir_operator:LinearOp|LinearOp,react_tool,120,119817.0,12765.0
react_moa_mcts,react-plan,llm,768,inter_operator_dispatch,,,template_scaled,llm|768|inter_operator_dispatch|,react_tool,280,7819.0,0.0
react_moa_mcts,react-plan,llm,768,mir_operator:LinearOp,LinearOp,11,template_scaled,llm|768|mir_operator:LinearOp|LinearOp,react_tool,120,119817.0,12765.0
