workload,iteration,wall_ns,segment_sum_ns,segments,gpu_work_ns,cuda_api_ns,conservation_err_ns
planner_debate,0,17153658308,17153658308,34363,4181416026,3892492507,0
planner_debate,1,16989879055,16989879055,34363,4180984577,3863085105,0
planner_debate,2,16946833157,16946833157,34363,4183420054,3858396897,0
