Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.1,227229868,2625,86563.8,8314.0,5335,70228132,1757655.1,cudaLaunchKernel
13.5,47184369,14,3370312.1,2647482.5,999305,8844332,2569317.2,cuLibraryLoadData
9.4,32743982,1250,26195.2,2805.5,1676,684068,51641.9,cudaEventSynchronize
3.9,13626580,2750,4955.1,4147.5,1311,365021,8168.9,cudaEventRecord
1.6,5529475,2520,2194.2,1679.0,535,18608,1741.2,cudaEventCreateWithFlags
1.3,4577514,250,18310.1,17256.0,11343,41936,4555.6,cudaMemcpyAsync
1.3,4487694,2,2243847.0,2243847.0,1831358,2656336,583347.5,cudaGetDeviceProperties
1.0,3461642,2,1730821.0,1730821.0,1607274,1854368,174721.8,cudaHostAlloc
0.9,3303433,1,3303433.0,3303433.0,3303433,3303433,0.0,cudaFree
0.9,3112627,2500,1245.1,1156.0,668,15829,796.9,cudaEventDestroy
0.4,1374085,6,229014.2,278119.0,7354,399032,150856.0,cudaMalloc
0.3,1181108,248,4762.5,3308.5,793,13450,3719.9,cudaEventQuery
0.1,388839,378,1028.7,722.5,480,21708,1210.6,cudaStreamIsCapturing
0.1,311305,838,371.5,246.0,141,14606,558.5,cuGetProcAddress_v2
0.1,257155,25,10286.2,10101.0,7974,14873,1378.2,cudaDeviceSynchronize
0.0,78058,14,5575.6,7106.5,848,9814,3527.1,cuLibraryGetKernel
0.0,13164,3,4388.0,4254.0,2790,6120,1669.0,cuInit
0.0,10902,3,3634.0,243.0,218,10441,5895.0,cuModuleGetLoadingMode
0.0,5097,2,2548.5,2548.5,1249,3848,1837.8,cudaGetDriverEntryPoint
