Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
51.7,17680216,125,141441.7,161924.0,68499,365055,33232.9,[CUDA memcpy Device-to-Host]
48.3,16485709,125,131885.7,145158.0,69300,157796,22424.6,[CUDA memcpy Host-to-Device]
