Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
0.1,2720625,25,108825.0,103764.0,96239,178089,16628.2,PushPop,:agentsys.mllm::critic-b::11::LinearOp
0.1,2717473,25,108698.9,105363.0,95468,136746,9842.9,PushPop,:agentsys.mllm::critic-merge::7::AddOp
0.1,2702928,25,108117.1,102431.0,96418,165297,15849.7,PushPop,:agentsys.mllm::planner-final::11::LinearOp
0.1,2698230,25,107929.2,98486.0,92259,174724,20300.5,PushPop,:agentsys.mllm::planner-seed::12::LinearOp
0.1,2690562,25,107622.5,103529.0,95053,152333,13062.0,PushPop,:agentsys.mllm::critic-a::11::LinearOp
0.1,2687314,25,107492.6,103853.0,97695,126123,8589.2,PushPop,:agentsys.mllm::critic-a::7::AddOp
0.1,2685695,25,107427.8,98249.0,91635,219127,24910.5,PushPop,:agentsys.mllm::critic-merge::12::LinearOp
0.1,2596628,25,103865.1,97133.0,94468,171956,16174.6,PushPop,:agentsys.mllm::critic-b::12::LinearOp
0.1,2596068,25,103842.7,97311.0,91350,204638,21985.6,PushPop,:agentsys.mllm::critic-a::12::LinearOp
0.1,2475187,25,99007.5,78247.0,67811,440153,73128.4,PushPop,:agentsys.mllm::critic-b::13::ViewOp
0.1,2139031,25,85561.2,76249.0,69165,197308,26983.8,PushPop,:agentsys.mllm::planner-final::13::ViewOp
0.1,2066022,25,82640.9,75755.0,69365,229938,31069.8,PushPop,:agentsys.mllm::planner-seed::13::ViewOp
0.1,1935541,25,77421.6,76266.0,68876,94159,5767.3,PushPop,:agentsys.mllm::critic-merge::13::ViewOp
0.1,1924411,25,76976.4,75040.0,67983,96322,6964.5,PushPop,:agentsys.mllm::critic-a::13::ViewOp
