workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool_L_it1,measured,0,answer,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3545050589,3545262681,212092,126396,126396,7,0,59473,14,cudaLaunchKernel,152619,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3545262681,3545270560,7879,0,0,0,0,0,0,,7879,
react_tool_L_it1,measured,0,answer,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3545270560,3545781568,511008,372213,372213,1,0,371440,8,cudaEventSynchronize,139568,gemm
react_tool_L_it1,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3545781568,3545789830,8262,0,0,0,0,0,0,,8262,
react_tool_L_it1,measured,0,answer,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3545789830,3546239670,449840,369845,369845,1,0,367860,8,cudaEventSynchronize,81980,gemm
react_tool_L_it1,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3546239670,3546246573,6903,0,0,0,0,0,0,,6903,
react_tool_L_it1,measured,0,answer,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3546246573,3546685155,438582,369653,369653,1,0,365863,8,cudaEventSynchronize,72719,gemm
react_tool_L_it1,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3546685155,3546693902,8747,0,0,0,0,0,0,,8747,
react_tool_L_it1,measured,0,answer,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3546693902,3546771089,77187,0,0,0,0,12373,7,cudaEventRecord,64814,
react_tool_L_it1,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3546771089,3546777495,6406,0,0,0,0,0,0,,6406,
react_tool_L_it1,measured,0,answer,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3546777495,3547012888,235393,133180,133180,1,0,128670,8,cudaEventSynchronize,106723,copy
react_tool_L_it1,measured,0,answer,llm,pre_d2h_alloc,,,,gap_between_markers,3547012888,3547029272,16384,0,0,0,0,0,0,,16384,
react_tool_L_it1,measured,0,answer,llm,d2h_stage,,,,host_event,3547029272,3547927069,897797,846567,846567,0,1,849912,6,cudaEventSynchronize,47885,memcpy
react_tool_L_it1,measured,0,answer,llm,checksum_complete,,,,gap_between_markers,3547927069,3548016327,89258,0,0,0,0,1922,2,cudaEventDestroy,87336,
react_tool_L_it1,measured,0,,dag,iteration_tail_sync,,,,gap_to_phase_end,3548016327,3548080761,64434,0,0,0,0,12727,3,cudaDeviceSynchronize,51707,
react_tool_L_it1,measured,1,,dag,dag_schedule_gap,,,,gap_between_markers,3548104976,3548119668,14692,0,0,0,0,0,0,,14692,
react_tool_L_it1,measured,1,plan,llm,adapter_dispatch,,,,gap_between_markers,3548119668,3549266097,1146429,0,0,0,0,0,0,,1146429,
react_tool_L_it1,measured,1,plan,llm,token_preprocess_cpu,,,,host_event,3549266097,3549700624,434527,0,0,0,0,0,0,,434527,
react_tool_L_it1,measured,1,plan,llm,host_input_generate,,,,gap_between_markers,3549700624,3632556369,82855745,0,0,0,0,10806,2,cudaEventQuery,82844939,
react_tool_L_it1,measured,1,plan,llm,h2d_stage,,,,host_event,3632556369,3633559308,1002939,810953,810953,0,1,862844,6,cudaEventSynchronize,140095,memcpy
react_tool_L_it1,measured,1,plan,llm,weight_init,,,,gap_between_markers,3633559308,3633800110,240802,31904,31904,2,0,52522,7,cudaLaunchKernel,188280,elementwise_binary|rng_init
react_tool_L_it1,measured,1,plan,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3633800110,3634136022,335912,143451,143451,7,0,77825,14,cudaLaunchKernel,258087,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,1,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3634136022,3634148826,12804,0,0,0,0,0,0,,12804,
