workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
planner_debate_L,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,6413278448,6413292802,14354,0,0,0,0,0,0,,14354,
planner_debate_L,measured,0,planner-seed,llm,adapter_dispatch,,,,gap_between_markers,6413292802,6414209377,916575,0,0,0,0,0,0,,916575,
planner_debate_L,measured,0,planner-seed,llm,token_preprocess_cpu,,,,host_event,6414209377,6414603148,393771,0,0,0,0,0,0,,393771,
planner_debate_L,measured,0,planner-seed,llm,host_input_generate,,,,gap_between_markers,6414603148,6500428999,85825851,0,0,0,0,7775,2,cudaEventQuery,85818076,
planner_debate_L,measured,0,planner-seed,llm,h2d_stage,,,,host_event,6500428999,6501648724,1219725,1046364,1046364,0,1,1093672,6,cudaEventSynchronize,126053,memcpy
planner_debate_L,measured,0,planner-seed,llm,weight_init,,,,gap_between_markers,6501648724,6501859790,211066,38878,38878,2,0,50111,7,cudaLaunchKernel,160955,elementwise_binary|rng_init
planner_debate_L,measured,0,planner-seed,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,6501859790,6511665803,9806013,9544603,9544603,224,0,7600102,231,cudaEventSynchronize,2205911,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6511665803,6511683207,17404,0,0,0,0,0,0,,17404,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,6511683207,6512287700,604493,431730,431730,32,0,175478,39,cudaLaunchKernel,429015,elementwise_binary
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6512287700,6512296483,8783,0,0,0,0,0,0,,8783,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,6512296483,6521525111,9228628,9005296,9005296,224,0,7094288,231,cudaEventSynchronize,2134340,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6521525111,6521537485,12374,0,0,0,0,0,0,,12374,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,6521537485,6541688116,20150631,19861279,19861279,32,0,19513850,71,cudaEventSynchronize,636781,gemm
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6541688116,6541696816,8700,0,0,0,0,0,0,,8700,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,6541696816,6561852905,20156089,20063450,20063450,32,0,19586858,71,cudaEventSynchronize,569231,gemm
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6561852905,6561867377,14472,0,0,0,0,0,0,,14472,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,6561867377,6582790798,20923421,20828673,20828673,32,0,20368214,71,cudaEventSynchronize,555207,gemm
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6582790798,6582805022,14224,0,0,0,0,0,0,,14224,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,6582805022,6582955243,150221,0,0,0,0,11598,7,cudaEventRecord,138623,
planner_debate_L,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,6582955243,6582962292,7049,0,0,0,0,0,0,,7049,
planner_debate_L,measured,0,planner-seed,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,6582962292,6588834302,5872010,5755100,5755100,32,0,5272113,39,cudaEventSynchronize,599897,copy
planner_debate_L,measured,0,planner-seed,llm,pre_d2h_alloc,,,,gap_between_markers,6588834302,6588851958,17656,0,0,0,0,0,0,,17656,
planner_debate_L,measured,0,planner-seed,llm,d2h_stage,,,,host_event,6588851958,6589997949,1145991,1089339,1089339,0,1,1099646,6,cudaEventSynchronize,46345,memcpy
planner_debate_L,measured,0,planner-seed,llm,checksum_complete,,,,gap_between_markers,6589997949,6590080674,82725,0,0,0,0,1630,2,cudaEventDestroy,81095,
planner_debate_L,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,6590080674,6590119929,39255,0,0,0,0,4202,2,cudaEventRecord,35053,
planner_debate_L,measured,0,critic-a,llm,adapter_dispatch,,,,gap_between_markers,6590119929,6591061787,941858,0,0,0,0,0,0,,941858,
