workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate_L,critic-b,mir_operator:LinearOp,10,LinearOp,me,8,26026549.5,25693219,26340531,25796593.5,25327984.0,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-b,mir_operator:LinearOp,11,LinearOp,me,8,26772498.0,26051674,27091649,26637731.5,26186423.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-b,mir_operator:LinearOp,12,LinearOp,me,8,27107516.5,26040530,27768337,26952410.5,26440457.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-b,mir_operator:ViewOp,13,ViewOp,de,8,172157.5,160593,190116,0.0,15858.5,cudaEventRecord,,0
planner_debate_L,critic-b,mir_operator:TransposeOp,14,TransposeOp,de,8,7344443.5,6922728,7496768,7192911.0,6723498.0,cudaEventSynchronize,copy,32
planner_debate_L,critic-b,pre_d2h_alloc,,,,8,22603.0,15987,32561,0.0,0.0,,,0
planner_debate_L,critic-b,d2h_stage,,,,8,1515482.0,1480777,1587614,1455375.5,1468028.5,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-b,checksum_complete,,,,8,88366.0,76156,105716,0.0,1810.5,cudaEventDestroy,,0
planner_debate_L,planner-tool,agent_tool_execute_cpu,,,,8,385884.5,300676,424909,0.0,0.0,,,0
planner_debate_L,critic-merge,adapter_dispatch,,,,8,1423731.5,1384581,1687681,0.0,0.0,,,0
planner_debate_L,critic-merge,token_preprocess_cpu,,,,8,246641.5,231673,279718,0.0,0.0,,,0
planner_debate_L,critic-merge,host_input_generate,,,,8,114651702.5,109007432,117049947,0.0,10494.5,cudaEventQuery,,0
planner_debate_L,critic-merge,h2d_stage,,,,8,1533548.5,1524838,1558964,1377345.5,1421028.5,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-merge,weight_init,,,,8,197977.0,180239,220892,53470.0,46886.5,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L,critic-merge,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,16280690.5,16088088,16532847,16005480.0,14143410.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,critic-merge,inter_operator_dispatch,,,,56,15577.0,5158,34780,0.0,0.0,,,0
planner_debate_L,critic-merge,mir_operator:AddOp,7,AddOp,ve,8,758991.0,737088,829892,644858.0,374190.0,cudaEventSynchronize,elementwise_binary,32
planner_debate_L,critic-merge,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,16299635.5,15987043,16495806,16079571.5,14186671.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,critic-merge,mir_operator:LinearOp,10,LinearOp,me,8,26230773.5,25653279,26497847,25976968.5,25536566.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-merge,mir_operator:LinearOp,11,LinearOp,me,8,26358556.5,25768622,26957853,26049343.0,25665090.0,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-merge,mir_operator:LinearOp,12,LinearOp,me,8,27023801.5,25769710,27586292,26848016.0,26337671.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-merge,mir_operator:ViewOp,13,ViewOp,de,8,162725.0,147942,193530,0.0,14189.0,cudaEventRecord,,0
planner_debate_L,critic-merge,mir_operator:TransposeOp,14,TransposeOp,de,8,7319011.0,6872023,7922479,7195486.0,6733548.5,cudaEventSynchronize,copy,32
planner_debate_L,critic-merge,pre_d2h_alloc,,,,8,21608.5,16595,24221,0.0,0.0,,,0
planner_debate_L,critic-merge,d2h_stage,,,,8,1537788.5,1488485,1777976,1477406.5,1489825.0,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-merge,checksum_complete,,,,8,94137.0,75534,103218,0.0,2134.5,cudaEventDestroy,,0
planner_debate_L,planner-final,adapter_dispatch,,,,8,917721.0,830908,1122700,0.0,0.0,,,0
planner_debate_L,planner-final,token_preprocess_cpu,,,,8,373668.5,298255,408206,0.0,0.0,,,0
planner_debate_L,planner-final,host_input_generate,,,,8,88578851.0,82905740,90101839,0.0,9564.0,cudaEventQuery,,0
planner_debate_L,planner-final,h2d_stage,,,,8,1210460.0,1161499,1275615,1053228.5,1090616.5,cudaEventSynchronize,memcpy,0
planner_debate_L,planner-final,weight_init,,,,8,212782.0,153090,215290,40031.5,48500.0,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L,planner-final,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,9327395.5,9252578,9760326,9042752.5,7273448.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,planner-final,inter_operator_dispatch,,,,56,11058.0,4858,26980,0.0,0.0,,,0
planner_debate_L,planner-final,mir_operator:AddOp,7,AddOp,ve,8,555231.0,531253,662624,431873.0,166067.0,cudaLaunchKernel,elementwise_binary,32
planner_debate_L,planner-final,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,9738463.0,9187620,9760611,9525937.0,7679965.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,planner-final,mir_operator:LinearOp,10,LinearOp,me,8,20063737.5,19766831,20159765,19883730.0,19402025.5,cudaEventSynchronize,gemm,32
planner_debate_L,planner-final,mir_operator:LinearOp,11,LinearOp,me,8,20151625.0,20025777,20321113,20034033.0,19580794.0,cudaEventSynchronize,gemm,32
planner_debate_L,planner-final,mir_operator:LinearOp,12,LinearOp,me,8,20572448.0,20137933,20919956,20439250.5,19978868.5,cudaEventSynchronize,gemm,32
planner_debate_L,planner-final,mir_operator:ViewOp,13,ViewOp,de,8,159675.0,146485,171151,0.0,12470.0,cudaEventRecord,,0
planner_debate_L,planner-final,mir_operator:TransposeOp,14,TransposeOp,de,8,5879654.5,5433801,6280931,5730367.0,5246407.5,cudaEventSynchronize,copy,32
planner_debate_L,planner-final,pre_d2h_alloc,,,,8,19134.5,17273,32567,0.0,0.0,,,0
planner_debate_L,planner-final,d2h_stage,,,,8,1196204.0,1145235,1357592,1130890.0,1142342.5,cudaEventSynchronize,memcpy,0
planner_debate_L,planner-final,checksum_complete,,,,8,86625.5,70715,99829,0.0,1706.0,cudaEventDestroy,,0
planner_debate_L,,dag_schedule_gap,,,,48,45457.5,11286,1004920,0.0,4538.5,,,0
planner_debate_L,,iteration_tail_sync,,,,8,65548.5,48619,100777,0.0,12644.5,cudaDeviceSynchronize,,0
