policy,class,calls,queue_wait_mean_ms,queue_wait_p90_ms,decode_mean_ms,decode_p90_ms
agentix_core,bfcl,69,28.96,38.93,167.69,277.24
agentix_core,lats,1330,31.56,43.44,422.84,714.82
agentix_core,sharegpt,8,29.16,35.42,1915.66,2325.42
