workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,5094248479,5094808175,559696,494226,494226,7,0,435556,14,cudaEventSynchronize,124140,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5094808175,5094816282,8107,0,0,0,0,0,0,,8107,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,5094816282,5095802630,986348,852520,852520,1,1,865061,9,cudaEventSynchronize,121287,gemm|memset
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5095802630,5095809567,6937,0,0,0,0,0,0,,6937,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,5095809567,5096736139,926572,852295,852295,1,1,856247,9,cudaEventSynchronize,70325,gemm|memset
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5096736139,5096743070,6931,0,0,0,0,0,0,,6931,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,5096743070,5097712093,969023,898214,898214,1,1,901901,9,cudaEventSynchronize,67122,gemm|memset
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5097712093,5097719119,7026,0,0,0,0,0,0,,7026,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,5097719119,5097788350,69231,0,0,0,0,11634,7,cudaEventRecord,57597,
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5097788350,5097794502,6152,0,0,0,0,0,0,,6152,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,5097794502,5098115000,320498,226426,226426,1,0,223720,8,cudaEventSynchronize,96778,copy
planner_debate_L_it1,measured,0,critic-a,llm,pre_d2h_alloc,,,,gap_between_markers,5098115000,5098131798,16798,0,0,0,0,0,0,,16798,
planner_debate_L_it1,measured,0,critic-a,llm,d2h_stage,,,,host_event,5098131798,5099717746,1585948,1531860,1531860,0,1,1543460,6,cudaEventSynchronize,42488,memcpy
planner_debate_L_it1,measured,0,critic-a,llm,checksum_complete,,,,gap_between_markers,5099717746,5099805101,87355,0,0,0,0,2367,2,cudaEventDestroy,84988,
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,5099805101,5099837426,32325,0,0,0,0,4367,2,cudaEventRecord,27958,
planner_debate_L_it1,measured,0,critic-b,llm,adapter_dispatch,,,,gap_between_markers,5099837426,5100757507,920081,0,0,0,0,0,0,,920081,
planner_debate_L_it1,measured,0,critic-b,llm,token_preprocess_cpu,,,,host_event,5100757507,5101137984,380477,0,0,0,0,0,0,,380477,
planner_debate_L_it1,measured,0,critic-b,llm,host_input_generate,,,,gap_between_markers,5101137984,5218965686,117827702,0,0,0,0,10582,2,cudaEventQuery,117817120,
planner_debate_L_it1,measured,0,critic-b,llm,h2d_stage,,,,host_event,5218965686,5220556610,1590924,1424696,1424696,0,1,1468213,6,cudaEventSynchronize,122711,memcpy
planner_debate_L_it1,measured,0,critic-b,llm,weight_init,,,,gap_between_markers,5220556610,5220771177,214567,55518,55518,2,0,48537,7,cudaLaunchKernel,166030,elementwise_binary|rng_init
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,5220771177,5221415020,643843,518897,518897,7,0,414333,14,cudaEventSynchronize,229510,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5221415020,5221426190,11170,0,0,0,0,0,0,,11170,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,5221426190,5221519877,93687,27199,27199,1,0,26344,8,cudaLaunchKernel,67343,elementwise_binary
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5221519877,5221526514,6637,0,0,0,0,0,0,,6637,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,5221526514,5222089103,562589,494738,494738,7,0,419867,14,cudaEventSynchronize,142722,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5222089103,5222096965,7862,0,0,0,0,0,0,,7862,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,5222096965,5223084564,987599,852264,852264,1,1,863021,9,cudaEventSynchronize,124578,gemm|memset
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5223084564,5223100460,15896,0,0,0,0,0,0,,15896,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,5223100460,5224039885,939425,852584,852584,1,1,857031,9,cudaEventSynchronize,82394,gemm|memset
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5224039885,5224048348,8463,0,0,0,0,0,0,,8463,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,5224048348,5224973157,924809,851688,851688,1,1,853265,9,cudaEventSynchronize,71544,gemm|memset
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5224973157,5224980577,7420,0,0,0,0,0,0,,7420,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,5224980577,5225050103,69526,0,0,0,0,11191,7,cudaEventRecord,58335,
planner_debate_L_it1,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,5225050103,5225056159,6056,0,0,0,0,0,0,,6056,
planner_debate_L_it1,measured,0,critic-b,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,5225056159,5225379480,323321,226425,226425,1,0,222585,8,cudaEventSynchronize,100736,copy
planner_debate_L_it1,measured,0,critic-b,llm,pre_d2h_alloc,,,,gap_between_markers,5225379480,5225395404,15924,0,0,0,0,0,0,,15924,
planner_debate_L_it1,measured,0,critic-b,llm,d2h_stage,,,,host_event,5225395404,5226929495,1534091,1482006,1482006,0,1,1491908,6,cudaEventSynchronize,42183,memcpy
planner_debate_L_it1,measured,0,critic-b,llm,checksum_complete,,,,gap_between_markers,5226929495,5227018832,89337,0,0,0,0,2100,2,cudaEventDestroy,87237,
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,5227018832,5227994989,976157,0,0,0,0,4265,2,cudaEventRecord,971892,
planner_debate_L_it1,measured,0,planner-tool,tool,agent_tool_execute_cpu,,,,host_event,5227994989,5228306842,311853,0,0,0,0,0,0,,311853,
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,5228306842,5228379128,72286,0,0,0,0,0,0,,72286,
