workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
planner_debate_L_it1,7,21,planner-seed,mir_operator:LinearOp,12,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,4009220.7,4009227.4,635661,6689,448x7x1,128x1x1,7
planner_debate_L_it1,7,22,planner-seed,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,4010019.3,4010036.4,177851,17123,25088x1x1,128x1x1,7
planner_debate_L_it1,7,23,planner-seed,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,4010274.5,4010293.6,1110560,19155,0x0x0,0x0x0,7
planner_debate_L_it1,7,24,critic-a,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,4126931.2,4126957.5,1375032,26347,0x0x0,0x0x0,7
planner_debate_L_it1,7,25,critic-a,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,4128434.4,4128531.0,36159,96576,768x1x1,256x1x1,7
planner_debate_L_it1,7,26,critic-a,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,4128520.9,4128567.9,19871,46995,16384x1x1,128x1x1,7
planner_debate_L_it1,7,27,critic-a,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,4128631.5,4128641.9,114172,10450,16384x1x1,128x1x1,7
planner_debate_L_it1,7,28,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,4128659.4,4128756.8,145756,97404,16384x1x1,128x1x1,7
planner_debate_L_it1,7,29,critic-a,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,4128689.5,4128903.3,36607,213796,256x1x1,32x16x1,7
planner_debate_L_it1,7,30,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,4128714.3,4128940.7,1408,226342,4x1x1,128x1x1,7
planner_debate_L_it1,7,31,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,4128734.3,4128942.8,1088,208417,4x1x1,128x1x1,7
planner_debate_L_it1,7,32,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,4128755.8,4128944.5,128220,188666,65536x1x1,128x1x1,7
planner_debate_L_it1,7,33,critic-a,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,4128777.0,4129073.4,90622,296395,16384x1x1,128x1x1,7
planner_debate_L_it1,7,34,critic-a,mir_operator:AddOp,7,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, ",cudaLaunchKernel_v7000,4129242.3,4129261.9,26975,19645,16384x1x1,128x1x1,7
planner_debate_L_it1,7,35,critic-a,mir_operator:RMSNormOp,8,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,4129348.5,4129356.3,86910,7719,16384x1x1,128x1x1,7
planner_debate_L_it1,7,36,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,4129371.8,4129443.9,145052,72024,16384x1x1,128x1x1,7
planner_debate_L_it1,7,37,critic-a,mir_operator:RMSNormOp,8,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,4129389.8,4129589.6,36798,199798,256x1x1,32x16x1,7
planner_debate_L_it1,7,38,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,4129404.0,4129627.1,1248,223132,4x1x1,128x1x1,7
planner_debate_L_it1,7,39,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,4129417.7,4129629.0,1088,211329,4x1x1,128x1x1,7
planner_debate_L_it1,7,40,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,4129432.7,4129630.8,128477,198109,65536x1x1,128x1x1,7
planner_debate_L_it1,7,41,critic-a,mir_operator:RMSNormOp,8,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,4129459.3,4129760.0,91389,300737,16384x1x1,128x1x1,7
planner_debate_L_it1,7,42,critic-a,mir_operator:LinearOp,10,memset,memset,memset,cudaMemsetAsync_v3020,4129956.6,4129971.8,864,15203,0x0x0,0x0x0,7
planner_debate_L_it1,7,43,critic-a,mir_operator:LinearOp,10,kernel,gemm,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn,cudaLaunchKernel_v7000,4129981.9,4129991.1,850984,9120,32x32x3,128x1x1,7
planner_debate_L_it1,7,44,critic-a,mir_operator:LinearOp,11,memset,memset,memset,cudaMemsetAsync_v3020,4130907.0,4130913.2,864,6222,0x0x0,0x0x0,7
planner_debate_L_it1,7,45,critic-a,mir_operator:LinearOp,11,kernel,gemm,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn,cudaLaunchKernel_v7000,4130917.3,4130924.1,850792,6891,32x32x3,128x1x1,7
planner_debate_L_it1,7,46,critic-a,mir_operator:LinearOp,12,memset,memset,memset,cudaMemsetAsync_v3020,4131832.9,4131838.3,864,5410,0x0x0,0x0x0,7
planner_debate_L_it1,7,47,critic-a,mir_operator:LinearOp,12,kernel,gemm,ampere_fp16_s1688gemm_fp16_128x128_ldg8_f2f_stages_32x1_nn,cudaLaunchKernel_v7000,4131841.8,4131848.5,850824,6784,32x32x3,128x1x1,7
planner_debate_L_it1,7,48,critic-a,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,4132849.7,4132858.9,226490,9251,32768x1x1,128x1x1,7
planner_debate_L_it1,7,49,critic-a,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,4133146.7,4133160.9,1486741,14159,0x0x0,0x0x0,7
planner_debate_L_it1,7,50,critic-b,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,4249278.7,4249303.7,1446839,25004,0x0x0,0x0x0,7
planner_debate_L_it1,7,51,critic-b,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,4250852.6,4250948.2,35711,95617,768x1x1,256x1x1,7
planner_debate_L_it1,7,52,critic-b,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,4250942.1,4250984.7,19968,42583,16384x1x1,128x1x1,7
planner_debate_L_it1,7,53,critic-b,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,4251064.9,4251075.3,111964,10383,16384x1x1,128x1x1,7
planner_debate_L_it1,7,54,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,4251094.5,4251187.9,147932,93483,16384x1x1,128x1x1,7
planner_debate_L_it1,7,55,critic-b,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,4251122.5,4251336.6,37503,214171,256x1x1,32x16x1,7
planner_debate_L_it1,7,56,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,4251147.5,4251374.9,1280,227384,4x1x1,128x1x1,7
planner_debate_L_it1,7,57,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,4251167.1,4251376.9,1088,209880,4x1x1,128x1x1,7
planner_debate_L_it1,7,58,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,4251190.9,4251378.7,127708,187796,65536x1x1,128x1x1,7
