workload,iteration,wall_ns,segment_sum_ns,segments,gpu_work_ns,cuda_api_ns,conservation_err_ns
planner_debate_L_it1,0,565543675,565543675,123,30574041,30213573,0
planner_debate_L_it1,1,554283626,554283626,123,31006411,30574940,0
planner_debate_L_it1,2,551497667,551497667,123,30602099,30202361,0
planner_debate_L_it1,3,551130806,551130806,123,30607477,30200347,0
planner_debate_L_it1,4,579913099,579913099,123,30358402,30012802,0
planner_debate_L_it1,5,558873239,558873239,123,30236800,29881766,0
planner_debate_L_it1,6,554877644,554877644,123,30471291,30155081,0
planner_debate_L_it1,7,555849423,555849423,123,30193638,29975096,0
