workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate_L_it1,critic-b,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,560414.0,552609,577685,490834.5,421040.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,critic-b,mir_operator:LinearOp,10,LinearOp,me,8,994258.5,984097,1039957,852551.5,866125.5,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-b,mir_operator:LinearOp,11,LinearOp,me,8,931437.0,925565,968344,852280.0,855142.5,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-b,mir_operator:LinearOp,12,LinearOp,me,8,922649.0,917715,926282,851976.0,853805.0,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-b,mir_operator:ViewOp,13,ViewOp,de,8,69371.0,61614,87764,0.0,11106.5,cudaEventRecord,,0
planner_debate_L_it1,critic-b,mir_operator:TransposeOp,14,TransposeOp,de,8,318902.0,312440,358053,226617.5,222859.0,cudaEventSynchronize,copy,1
planner_debate_L_it1,critic-b,pre_d2h_alloc,,,,8,16227.5,14160,19274,0.0,0.0,,,0
planner_debate_L_it1,critic-b,d2h_stage,,,,8,1542880.5,1513467,1733081,1490837.5,1501687.0,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,critic-b,checksum_complete,,,,8,86181.0,77844,130114,0.0,2057.5,cudaEventDestroy,,0
planner_debate_L_it1,planner-tool,agent_tool_execute_cpu,,,,8,364561.0,310613,407882,0.0,0.0,,,0
planner_debate_L_it1,critic-merge,adapter_dispatch,,,,8,1444734.5,1419751,1467307,0.0,0.0,,,0
planner_debate_L_it1,critic-merge,token_preprocess_cpu,,,,8,242423.5,233677,272273,0.0,0.0,,,0
planner_debate_L_it1,critic-merge,host_input_generate,,,,8,113184308.0,110844863,120190693,0.0,10694.5,cudaEventQuery,,0
planner_debate_L_it1,critic-merge,h2d_stage,,,,8,1584852.0,1552610,1645820,1418583.5,1462714.0,cudaEventSynchronize,memcpy,0
