workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
react_moa_mcts,warmup,0,30805649433,5778384557,18.76,5766768741,11615816,5778384557,1390760,3450,29716238750
react_moa_mcts,warmup,1,29863605320,5761682676,19.29,5750119498,11563178,5761682676,1390760,3450,28827759312
react_moa_mcts,measured,0,29411549142,5749856158,19.55,5738343124,11513034,5749856158,1390760,3450,28253395067
react_moa_mcts,measured,1,29411082384,5760131535,19.58,5748624536,11506999,5760131535,1390760,3450,28256087592
react_moa_mcts,measured,2,29720180041,5757573075,19.37,5745922305,11650770,5757573075,1390760,3450,28519023724
