workload,op_type,instances,kernel_launches,gpu_ns_total,gpu_share_pct,nvtx_cpu_ns_total,wall_share_pct,gpu_ns_per_instance
react_moa_mcts,prefill_layer32,30,1350,21134360.0,0.09,33849947.0,0.03,704478.7
react_moa_mcts,prefill_layer24,30,1350,21133346.0,0.09,34450482.0,0.03,704444.9
react_moa_mcts,prefill_layer25,30,1350,21126648.0,0.09,34343246.0,0.03,704221.6
react_moa_mcts,prefill_layer35,30,1350,21121945.0,0.09,33796255.0,0.03,704064.8
react_moa_mcts,prefill_layer05,30,1350,21111095.0,0.09,33786348.0,0.03,703703.2
react_moa_mcts,prefill_layer01,30,1350,21110994.0,0.09,35732746.0,0.04,703699.8
react_moa_mcts,prefill_layer26,30,1350,21072951.0,0.09,34527422.0,0.03,702431.7
react_moa_mcts,prefill_layer23,30,1350,21067393.0,0.09,34580148.0,0.03,702246.4
react_moa_mcts,prefill_layer12,30,1350,21058332.0,0.09,33710533.0,0.03,701944.4
react_moa_mcts,prefill_layer10,30,1350,21039073.0,0.09,33804678.0,0.03,701302.4
react_moa_mcts,decode_sample,2550,2550,18052176.0,0.07,1572640297.0,1.55,7079.3
react_moa_mcts,decode_embed,2550,2550,4649625.0,0.02,141388706.0,0.14,1823.4
react_moa_mcts,prefill_sample,30,30,244225.0,0.0,69215888.0,0.07,8140.8
react_moa_mcts,prefill_embed,30,30,94785.0,0.0,2813953.0,0.0,3159.5
