policy,class,calls,queue_wait_mean_ms,queue_wait_p90_ms,decode_mean_ms,decode_p90_ms
plas,bfcl,97,26.89,36.71,177.64,267.82
plas,lats,1523,28.05,38.37,434.44,728.25
plas,sharegpt,9,28.19,34.11,1800.76,2320.72
