policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00026,chat,0,165818074382595,165818116166755,165820619391934,41784160,2503225179,2545009339,480,117
plas,p00000,agent,4,165816593000486,165816659465635,165820713182508,66465149,4053716873,4120182022,1522,191
plas,p00005,lats,3,165817162515037,165817227330380,165821058709067,64815343,3831378687,3896194030,766,179
plas,p00021,agent,0,165816695308704,165816762532594,165821196265656,67223890,4433733062,4500956952,632,207
plas,p00004,lats,5,165818453581488,165818521058668,165821219456728,67477180,2698398060,2765875240,412,123
plas,p00024,chat,1,165818999371792,165819087553366,165821317378763,88181574,2229825397,2318006971,483,101
plas,p00027,chat,0,165818535406041,165818621677470,165821340419618,86271429,2718742148,2805013577,621,124
plas,p00009,agent,3,165818558702535,165818628683077,165821340525594,69980542,2711842517,2781823059,1565,123
plas,p00028,agent,0,165818775812943,165818835093608,165821549380401,59280665,2714286793,2773567458,1741,122
plas,p00035,lats,0,165819713952380,165819777777029,165821621949459,63824649,1844172430,1907997079,567,81
plas,p00029,agent,0,165818885522992,165818938883045,165821733398102,53360053,2794515057,2847875110,632,125
plas,p00032,lats,0,165819418802548,165819474401914,165821733787097,55599366,2259385183,2314984549,664,100
plas,p00017,agent,3,165819982874257,165820055155880,165821785332772,72281623,1730176892,1802458515,2023,76
plas,p00010,lats,6,165820348629496,165820416925663,165821938690719,68296167,1521765056,1590061223,855,67
plas,p00006,agent,3,165817791967907,165817859330767,165821995210983,67362860,4135880216,4203243076,1547,188
plas,p00018,agent,2,165819867318842,165819939664597,165821995591127,72345755,2055926530,2128272285,1746,90
plas,p00016,agent,1,165816642939077,165816703983051,165822222886478,61043974,5518903427,5579947401,1987,254
plas,p00034,chat,0,165819710926146,165819777768035,165822447611682,66841889,2669843647,2736685536,238,117
plas,p00033,agent,0,165819596792020,165819662517455,165822470308404,65725435,2807790949,2873516384,676,123
plas,p00038,lats,0,165821796122620,165821871729422,165823078870593,75606802,1207141171,1282747973,545,54
plas,p00039,chat,0,165821979472719,165822049003683,165823101575299,69530964,1052571616,1122102580,348,48
plas,p00002,agent,3,165817586233731,165817633054958,165823177368369,46821227,5544313411,5591134638,1105,251
plas,p00028,agent,1,165821549538222,165821622448818,165823177839516,72910596,1555390698,1628301294,1394,69
plas,p00021,agent,1,165821196401586,165821284842365,165823200446510,88440779,1915604145,2004044924,1731,85
plas,p00009,agent,4,165821340614888,165821415290736,165823299043336,74675848,1883752600,1958428448,1103,83
plas,p00026,chat,1,165820619559090,165820690878873,165823371306390,71319783,2680427517,2751747300,589,117
plas,p00031,lats,0,165819065045677,165819118205774,165823423140650,53160097,4304934876,4358094973,836,190
plas,p00019,agent,1,165817792243944,165817859300127,165823441671482,67056183,5582371355,5649427538,1297,251
plas,p00015,lats,4,165819219924572,165819290268113,165823441986725,70343541,4151718612,4222062153,794,183
plas,p00035,lats,1,165821622070346,165821688862503,165823490912625,66792157,1802050122,1868842279,833,79
plas,p00037,chat,0,165821791137844,165821859604099,165823678730813,68466255,1819126714,1887592969,382,80
plas,p00029,agent,1,165821733553027,165821805234646,165823750108246,71681619,1944873600,2016555219,1584,85
plas,p00024,chat,2,165821317545843,165821396522030,165823771902545,78976187,2375380515,2454356702,440,104
plas,p00008,agent,4,165820348288578,165820416945845,165824047977001,68657267,3631031156,3699688423,721,158
plas,p00023,lats,1,165820400748413,165820464142123,165824070587854,63393710,3606445731,3669839441,610,157
plas,p00010,lats,7,165821938824922,165822025341634,165824070932066,86516712,2045590432,2132107144,357,90
plas,p00026,chat,2,165823371461246,165823442438741,165824214366754,70977495,771928013,842905508,287,34
plas,p00013,lats,3,165820276627296,165820348932764,165824592669094,72305468,4243736330,4316041798,787,185
plas,p00005,lats,4,165821058829514,165821129401838,165824753941985,70572324,3624540147,3695112471,733,158
plas,p00034,chat,1,165822447751971,165822540337241,165824870923317,92585270,2330586076,2423171346,194,103
plas,p00009,agent,5,165823299171627,165823371909042,165824938852624,72737415,1566943582,1639680997,739,69
plas,p00015,lats,5,165823442046547,165823520819934,165824939146699,78773387,1418326765,1497100152,393,63
plas,p00036,lats,0,165821012329427,165821080352586,165825018377607,68023159,3938025021,4006048180,729,170
plas,p00000,agent,5,165820713317922,165820785601570,165825142215249,72283648,4356613679,4428897327,1341,189
plas,p00017,agent,4,165821785463137,165821859642149,165825166403277,74179012,3306761128,3380940140,1972,144
plas,p00031,lats,1,165823423264760,165823491413196,165825332478624,68148436,1841065428,1909213864,1007,80
plas,p00004,lats,6,165821219566289,165821295536248,165825354745844,75969959,4059209596,4135179555,559,176
plas,p00032,lats,1,165821733849277,165821805209194,165825459633872,71359917,3654424678,3725784595,952,158
plas,p00039,chat,1,165823101696788,165823178143452,165825637785542,76446664,2459642090,2536088754,595,106
plas,p00021,agent,2,165823200552325,165823279347351,165825709723604,78795026,2430376253,2509171279,1839,105
plas,p00038,lats,1,165823078998181,165823165011719,165825764444837,86013538,2599433118,2685446656,578,112
plas,p00037,chat,1,165823678890906,165823750608937,165826031369728,71718031,2280760791,2352478822,160,99
plas,p00040,lats,0,165823874238701,165823937258493,165826031823087,63019792,2094564594,2157584386,771,91
plas,p00006,agent,4,165821995331054,165822068438978,165826236579304,73107924,4168140326,4241248250,863,181
plas,p00002,agent,4,165823177518049,165823259398788,165826236946523,81880739,2977547735,3059428474,1962,129
plas,p00016,agent,2,165822223025482,165822295062046,165826597882877,72036564,4302820831,4374857395,1078,187
plas,p00023,lats,2,165824070702323,165824148984778,165826853014914,78282455,2704030136,2782312591,839,118
plas,p00028,agent,2,165823177899591,165823259359145,165826952701856,81459554,3693342711,3774802265,1431,160
