workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_tool,mir_operator:prefill_layer13,6,6609217,0.05,1101536.2,2336370,0.07,1482665,22.4,270,35.4
react_tool,mir_operator:prefill_layer16,6,6607380,0.05,1101230.0,2331438,0.07,1480258,22.4,270,35.3
react_tool,mir_operator:prefill_layer30,6,6599161,0.05,1099860.2,2403251,0.08,1484867,22.5,270,36.4
react_tool,mir_operator:prefill_layer31,6,6594002,0.05,1099000.3,2329940,0.07,1483527,22.5,270,35.3
react_tool,mir_operator:prefill_layer15,6,6589566,0.05,1098261.0,2597010,0.08,1495976,22.7,270,39.4
react_tool,mir_operator:prefill_layer29,6,6589506,0.05,1098251.0,2390096,0.08,1494173,22.7,270,36.3
react_tool,mir_operator:prefill_layer32,6,6562083,0.05,1093680.5,2335891,0.07,1495417,22.8,270,35.6
react_tool,mir_operator:prefill_layer33,6,6552018,0.05,1092003.0,2339025,0.07,1484233,22.7,270,35.7
react_tool,mir_operator:prefill_layer12,6,6550744,0.05,1091790.7,2341197,0.07,1475123,22.5,270,35.7
react_tool,mir_operator:prefill_layer18,6,6542250,0.05,1090375.0,2374227,0.08,1476202,22.6,270,36.3
react_tool,mir_operator:prefill_layer28,6,6535321,0.05,1089220.2,2340691,0.07,1484852,22.7,270,35.8
react_tool,mir_operator:prefill_layer17,6,6533270,0.05,1088878.3,2347061,0.07,1476887,22.6,270,35.9
react_tool,mir_operator:prefill_layer20,6,6529427,0.05,1088237.8,2339537,0.07,1479456,22.7,270,35.8
react_tool,mir_operator:prefill_layer34,6,6524943,0.05,1087490.5,2346385,0.07,1480646,22.7,270,36.0
react_tool,mir_operator:prefill_layer35,6,6515569,0.05,1085928.2,2354770,0.07,1481422,22.7,270,36.1
react_tool,mir_operator:prefill_layer19,6,6514045,0.05,1085674.2,2348144,0.07,1465413,22.5,270,36.0
react_tool,mir_operator:prefill_layer11,6,6510367,0.05,1085061.2,2349039,0.07,1488971,22.9,270,36.1
react_tool,mir_operator:prefill_layer26,6,6495640,0.05,1082606.7,2343252,0.07,1455624,22.4,270,36.1
react_tool,mir_operator:prefill_layer27,6,6449966,0.05,1074994.3,2367568,0.07,1466680,22.7,270,36.7
react_tool,mir_operator:prefill_layer24,6,6449284,0.05,1074880.7,2341234,0.07,1456935,22.6,270,36.3
react_tool,mir_operator:prefill_layer25,6,6442238,0.05,1073706.3,2456912,0.08,1463881,22.7,270,38.1
react_tool,mir_operator:prefill_layer21,6,6410369,0.05,1068394.8,2347414,0.07,1457061,22.7,270,36.6
react_tool,mir_operator:prefill_layer10,6,6406664,0.05,1067777.3,2452087,0.08,1456481,22.7,270,38.3
react_tool,mir_operator:prefill_layer06,6,6385930,0.05,1064321.7,2392053,0.08,1451326,22.7,270,37.5
react_tool,mir_operator:prefill_layer22,6,6379915,0.05,1063319.2,2389265,0.08,1459302,22.9,270,37.4
react_tool,mir_operator:prefill_layer23,6,6376453,0.05,1062742.2,2333619,0.07,1426129,22.4,270,36.6
react_tool,mir_operator:prefill_layer07,6,6358826,0.05,1059804.3,2404400,0.08,1446841,22.8,270,37.8
react_tool,token_preprocess_cpu,6,6356461,0.05,1059410.2,0,0.0,0,0.0,0,0.0
