policy,class,calls,queue_wait_mean_ms,queue_wait_p90_ms,decode_mean_ms,decode_p90_ms
plas,bfcl,69,24.78,30.45,163.44,257.28
plas,lats,1330,27.27,36.94,410.72,694.15
plas,sharegpt,8,23.44,24.09,1837.93,2218.66
