workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
planner_debate,measured,0,critic-a,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3650200474,3650325834,125360,19869,19869,1,0,28122,8,cudaLaunchKernel,97238,gemm
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650325834,3650332675,6841,0,0,0,0,0,0,,6841,
planner_debate,measured,0,critic-a,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3650332675,3650427728,95053,19612,19612,1,0,22757,8,cudaLaunchKernel,72296,gemm
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650427728,3650433823,6095,0,0,0,0,0,0,,6095,
planner_debate,measured,0,critic-a,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3650433823,3650532323,98500,19357,19357,1,0,28674,8,cudaEventRecord,69826,gemm
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650532323,3650539935,7612,0,0,0,0,0,0,,7612,
planner_debate,measured,0,critic-a,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3650539935,3650609445,69510,0,0,0,0,12765,7,cudaEventRecord,56745,
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650609445,3650614814,5369,0,0,0,0,0,0,,5369,
planner_debate,measured,0,critic-a,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3650614814,3650730139,115325,12254,12254,1,0,24676,8,cudaLaunchKernel,90649,copy
planner_debate,measured,0,critic-a,llm,pre_d2h_alloc,,,,gap_between_markers,3650730139,3650739702,9563,0,0,0,0,0,0,,9563,
planner_debate,measured,0,critic-a,llm,d2h_stage,,,,host_event,3650739702,3650880453,140751,92655,92655,0,1,92642,6,cudaEventRecord,48109,memcpy
planner_debate,measured,0,critic-a,llm,checksum_complete,,,,gap_between_markers,3650880453,3650940222,59769,0,0,0,0,1867,2,cudaEventDestroy,57902,
planner_debate,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3650940222,3650967542,27320,0,0,0,0,4034,2,cudaEventRecord,23286,
planner_debate,measured,0,critic-b,llm,adapter_dispatch,,,,gap_between_markers,3650967542,3652074076,1106534,0,0,0,0,0,0,,1106534,
planner_debate,measured,0,critic-b,llm,token_preprocess_cpu,,,,host_event,3652074076,3652366173,292097,0,0,0,0,0,0,,292097,
planner_debate,measured,0,critic-b,llm,host_input_generate,,,,gap_between_markers,3652366173,3664274721,11908548,0,0,0,0,6948,2,cudaEventQuery,11901600,
planner_debate,measured,0,critic-b,llm,h2d_stage,,,,host_event,3664274721,3664450384,175663,96559,96559,0,1,102379,6,cudaEventSynchronize,73284,memcpy
planner_debate,measured,0,critic-b,llm,weight_init,,,,gap_between_markers,3664450384,3664576488,126104,7071,7071,2,0,28438,7,cudaLaunchKernel,97666,elementwise_binary|rng_init
planner_debate,measured,0,critic-b,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3664576488,3664823798,247310,19324,19324,7,0,63400,14,cudaLaunchKernel,183910,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3664823798,3664833417,9619,0,0,0,0,0,0,,9619,
planner_debate,measured,0,critic-b,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3664833417,3664929240,95823,2079,2079,1,0,23593,8,cudaLaunchKernel,72230,elementwise_binary
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3664929240,3664936475,7235,0,0,0,0,0,0,,7235,
planner_debate,measured,0,critic-b,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3664936475,3665143592,207117,19164,19164,7,0,58740,14,cudaLaunchKernel,148377,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3665143592,3665151089,7497,0,0,0,0,0,0,,7497,
planner_debate,measured,0,critic-b,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3665151089,3665281599,130510,19740,19740,1,0,35067,8,cudaEventRecord,95443,gemm
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3665281599,3665289041,7442,0,0,0,0,0,0,,7442,
planner_debate,measured,0,critic-b,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3665289041,3665385454,96413,19580,19580,1,0,23358,8,cudaLaunchKernel,73055,gemm
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3665385454,3665392343,6889,0,0,0,0,0,0,,6889,
planner_debate,measured,0,critic-b,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3665392343,3665487453,95110,19644,19644,1,0,24342,8,cudaLaunchKernel,70768,gemm
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3665487453,3665493964,6511,0,0,0,0,0,0,,6511,
planner_debate,measured,0,critic-b,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3665493964,3665561775,67811,0,0,0,0,12609,7,cudaEventRecord,55202,
planner_debate,measured,0,critic-b,llm,inter_operator_dispatch,,,,gap_between_markers,3665561775,3665567617,5842,0,0,0,0,0,0,,5842,
planner_debate,measured,0,critic-b,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3665567617,3665690826,123209,12286,12286,1,0,25332,8,cudaLaunchKernel,97877,copy
planner_debate,measured,0,critic-b,llm,pre_d2h_alloc,,,,gap_between_markers,3665690826,3665700385,9559,0,0,0,0,0,0,,9559,
planner_debate,measured,0,critic-b,llm,d2h_stage,,,,host_event,3665700385,3665842008,141623,92975,92975,0,1,93092,6,cudaEventSynchronize,48531,memcpy
planner_debate,measured,0,critic-b,llm,checksum_complete,,,,gap_between_markers,3665842008,3665900823,58815,0,0,0,0,2064,2,cudaEventDestroy,56751,
planner_debate,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3665900823,3667046804,1145981,0,0,0,0,4294,2,cudaEventRecord,1141687,
planner_debate,measured,0,planner-tool,tool,agent_tool_execute_cpu,,,,host_event,3667046804,3667323679,276875,0,0,0,0,0,0,,276875,
planner_debate,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3667323679,3667384595,60916,0,0,0,0,0,0,,60916,
planner_debate,measured,0,critic-merge,llm,adapter_dispatch,,,,gap_between_markers,3667384595,3669182634,1798039,0,0,0,0,0,0,,1798039,
planner_debate,measured,0,critic-merge,llm,token_preprocess_cpu,,,,host_event,3669182634,3669326900,144266,0,0,0,0,0,0,,144266,
planner_debate,measured,0,critic-merge,llm,host_input_generate,,,,gap_between_markers,3669326900,3681255921,11929021,0,0,0,0,7416,2,cudaEventQuery,11921605,
planner_debate,measured,0,critic-merge,llm,h2d_stage,,,,host_event,3681255921,3681440195,184274,99054,99054,0,1,107605,6,cudaEventSynchronize,76669,memcpy
planner_debate,measured,0,critic-merge,llm,weight_init,,,,gap_between_markers,3681440195,3681571485,131290,7038,7038,2,0,29456,7,cudaLaunchKernel,101834,elementwise_binary|rng_init
planner_debate,measured,0,critic-merge,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3681571485,3681812637,241152,19291,19291,7,0,63985,14,cudaLaunchKernel,177167,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,3681812637,3681822223,9586,0,0,0,0,0,0,,9586,
planner_debate,measured,0,critic-merge,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3681822223,3681917691,95468,2015,2015,1,0,23314,8,cudaLaunchKernel,72154,elementwise_binary
planner_debate,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,3681917691,3681924844,7153,0,0,0,0,0,0,,7153,
planner_debate,measured,0,critic-merge,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3681924844,3682137188,212344,19197,19197,7,0,61408,14,cudaLaunchKernel,150936,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,3682137188,3682144978,7790,0,0,0,0,0,0,,7790,
planner_debate,measured,0,critic-merge,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3682144978,3682278747,133769,19645,19645,1,0,27580,8,cudaLaunchKernel,106189,gemm
planner_debate,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,3682278747,3682286953,8206,0,0,0,0,0,0,,8206,
planner_debate,measured,0,critic-merge,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3682286953,3682383942,96989,19645,19645,1,0,23131,8,cudaLaunchKernel,73858,gemm
planner_debate,measured,0,critic-merge,llm,inter_operator_dispatch,,,,gap_between_markers,3682383942,3682390720,6778,0,0,0,0,0,0,,6778,
