workload,iteration,wall_ns,segment_sum_ns,segments,gpu_work_ns,cuda_api_ns,conservation_err_ns
planner_debate,0,73280620,73280620,123,1420061,2503830,0
planner_debate,1,74822145,74822145,123,1769346,3076309,0
planner_debate,2,76146361,76146361,123,1975330,3426832,0
planner_debate,3,76001447,76001447,123,2126444,3561781,0
planner_debate,4,76084334,76084334,123,1977765,3340636,0
planner_debate,5,61325234,61325234,123,2120906,3731436,0
planner_debate,6,61047932,61047932,123,1983712,3559514,0
planner_debate,7,61019011,61019011,123,1980739,3562574,0
planner_debate,8,61339447,61339447,123,2211315,3646372,0
planner_debate,9,61994133,61994133,123,1978945,3419004,0
planner_debate,10,61353164,61353164,123,1975362,3441013,0
planner_debate,11,61770322,61770322,123,1980606,3434900,0
planner_debate,12,62269435,62269435,123,1977414,3520375,0
planner_debate,13,61554564,61554564,123,2183010,4120483,0
planner_debate,14,61277772,61277772,123,2007134,3372919,0
planner_debate,15,64091313,64091313,123,1923214,3505173,0
planner_debate,16,66045669,66045669,123,1464801,2705075,0
planner_debate,17,69703051,69703051,123,1757544,3257687,0
planner_debate,18,60488509,60488509,123,1985216,3730840,0
planner_debate,19,67577963,67577963,123,1980481,3580973,0
