workload,iteration,wall_ns,segment_sum_ns,segments,gpu_work_ns,cuda_api_ns,conservation_err_ns
react_moa_mcts,0,146369309,146369309,243,2924523,5166598,0
react_moa_mcts,1,146838285,146838285,243,2915509,4883165,0
react_moa_mcts,2,145527207,145527207,243,2823645,5070477,0
react_moa_mcts,3,144984980,144984980,243,2811715,4673928,0
react_moa_mcts,4,146930281,146930281,243,2826230,4739567,0
react_moa_mcts,5,140383211,140383211,243,2920737,4935775,0
react_moa_mcts,6,115777375,115777375,243,2811956,4895229,0
react_moa_mcts,7,116319909,116319909,243,2921232,4828330,0
react_moa_mcts,8,114418046,114418046,243,2815363,4674940,0
react_moa_mcts,9,146466957,146466957,243,2824832,4691303,0
react_moa_mcts,10,145693519,145693519,243,2917557,4797952,0
react_moa_mcts,11,146197166,146197166,243,2871842,4866604,0
react_moa_mcts,12,150379201,150379201,243,3744335,6511714,0
react_moa_mcts,13,151565182,151565182,243,4108757,7140213,0
react_moa_mcts,14,126297825,126297825,243,4230436,6934326,0
react_moa_mcts,15,127242839,127242839,243,4063221,6943525,0
react_moa_mcts,16,127114967,127114967,243,4046005,7297616,0
react_moa_mcts,17,121902457,121902457,243,4124897,7009629,0
react_moa_mcts,18,120345413,120345413,243,4252689,7279955,0
react_moa_mcts,19,119541716,119541716,243,4167621,6858352,0
