call_kind,matrix_size,process,op_type,template_source,samples,host_ns_median,host_ns_p90,gpu_ns_median
dag,,dag_schedule_gap,,planner_debate+react_tool,27,81719.0,830782.0,0.0
dag,,iteration_tail_sync,,planner_debate+react_tool,6,137658.5,187087.0,0.0
llm,1024,adapter_dispatch,,planner_debate,9,4015.0,4145.0,0.0
llm,1024,checksum_complete,,planner_debate,9,48360.0,51998.0,0.0
llm,1024,d2h_stage,,planner_debate,9,130155.0,144218.0,864.0
llm,1024,h2d_stage,,planner_debate,9,108583.0,132917.0,512.0
llm,1024,host_input_generate,,planner_debate,9,140187.0,187202.0,0.0
llm,1024,inter_operator_dispatch,,planner_debate,25287,21467.0,41705.0,0.0
llm,1024,mir_operator:decode_embed,decode_embed,planner_debate,807,57478.0,65636.0,1952.0
llm,1024,mir_operator:decode_head,decode_head,planner_debate,807,242738.0,266358.0,663364.0
llm,1024,mir_operator:decode_layer00,decode_layer00,planner_debate,807,1280261.0,1354239.0,207169.0
llm,1024,mir_operator:decode_layer01,decode_layer01,planner_debate,807,1231443.0,1288283.0,206498.0
llm,1024,mir_operator:decode_layer02,decode_layer02,planner_debate,807,1220933.0,1281497.0,206369.0
llm,1024,mir_operator:decode_layer03,decode_layer03,planner_debate,807,1215600.0,1272648.0,206176.0
llm,1024,mir_operator:decode_layer04,decode_layer04,planner_debate,807,1212894.0,1269783.0,206465.0
llm,1024,mir_operator:decode_layer05,decode_layer05,planner_debate,807,1212225.0,1269793.0,206305.0
llm,1024,mir_operator:decode_layer06,decode_layer06,planner_debate,807,1211641.0,1270427.0,206720.0
llm,1024,mir_operator:decode_layer07,decode_layer07,planner_debate,807,1209912.0,1267990.0,206370.0
llm,1024,mir_operator:decode_layer08,decode_layer08,planner_debate,807,1212694.0,1268682.0,206305.0
llm,1024,mir_operator:decode_layer09,decode_layer09,planner_debate,807,1211331.0,1268455.0,206530.0
llm,1024,mir_operator:decode_layer10,decode_layer10,planner_debate,807,1210963.0,1267900.0,206114.0
llm,1024,mir_operator:decode_layer11,decode_layer11,planner_debate,807,1212433.0,1268084.0,206241.0
llm,1024,mir_operator:decode_layer12,decode_layer12,planner_debate,807,1209423.0,1269139.0,206657.0
llm,1024,mir_operator:decode_layer13,decode_layer13,planner_debate,807,1208215.0,1264639.0,206338.0
llm,1024,mir_operator:decode_layer14,decode_layer14,planner_debate,807,1209590.0,1261043.0,206211.0
llm,1024,mir_operator:decode_layer15,decode_layer15,planner_debate,807,1206443.0,1265472.0,206624.0
llm,1024,mir_operator:decode_layer16,decode_layer16,planner_debate,807,1208770.0,1264506.0,206337.0
llm,1024,mir_operator:decode_layer17,decode_layer17,planner_debate,807,1206595.0,1263739.0,206272.0
llm,1024,mir_operator:decode_layer18,decode_layer18,planner_debate,807,1209427.0,1266201.0,206337.0
llm,1024,mir_operator:decode_layer19,decode_layer19,planner_debate,807,1208347.0,1265284.0,206432.0
llm,1024,mir_operator:decode_layer20,decode_layer20,planner_debate,807,1211361.0,1265095.0,206561.0
llm,1024,mir_operator:decode_layer21,decode_layer21,planner_debate,807,1208102.0,1263911.0,206177.0
llm,1024,mir_operator:decode_layer22,decode_layer22,planner_debate,807,1205961.0,1268710.0,206208.0
