target,process,expected_instances_per_iter,observed_instances_per_iter,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,scaled_err_pct,template_absolute_share_pct,observed_share_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts,mir_operator:prefill_layer26,10,10.0,12674036.5,12231621.4,12429211.7,2.0,-1.6,0.04,0.04,5138501.0,5608102.0,-8.4
react_moa_mcts,mir_operator:prefill_layer27,10,10.0,12651772.5,12210134.6,12428214.7,1.8,-1.8,0.04,0.04,5118124.0,5567983.7,-8.1
react_moa_mcts,mir_operator:prefill_layer24,10,10.0,12626333.0,12185583.1,12608446.3,0.1,-3.4,0.04,0.04,5103125.0,5606556.0,-9.0
react_moa_mcts,mir_operator:prefill_layer05,10,10.0,12531485.5,12094046.5,12423042.3,0.9,-2.6,0.04,0.04,5088261.5,5542769.7,-8.2
react_moa_mcts,mir_operator:prefill_layer07,10,10.0,12428162.0,11994329.7,12495771.7,-0.5,-4.0,0.04,0.04,5104908.5,5578472.0,-8.5
react_moa_mcts,mir_operator:prefill_layer06,10,10.0,12425342.0,11991608.1,12416378.0,0.1,-3.4,0.04,0.04,5097190.5,5641741.0,-9.7
react_moa_mcts,mir_operator:prefill_layer08,10,10.0,12400079.0,11967227.0,12511529.0,-0.9,-4.4,0.04,0.04,5110972.0,5588616.7,-8.5
react_moa_mcts,mir_operator:prefill_layer10,10,10.0,12340532.5,11909759.1,12511023.7,-1.4,-4.8,0.04,0.04,5114227.5,5725193.0,-10.7
react_moa_mcts,mir_operator:prefill_layer23,10,10.0,12332437.5,11901946.7,12412144.7,-0.6,-4.1,0.04,0.04,5104979.5,5753297.0,-11.3
react_moa_mcts,pre_d2h_alloc,10,10.0,3823520.5,3690052.1,13970266.0,-72.6,-73.6,0.01,0.05,7360.0,7434.7,-1.0
react_moa_mcts,mir_operator:prefill_head,10,10.0,2529826.0,2441516.9,2456717.3,3.0,-0.6,0.01,0.01,18831607.5,22350488.7,-15.7
react_moa_mcts,weight_init,10,10.0,1899193.0,1832897.5,1588528.3,19.6,15.4,0.01,0.01,0.0,0.0,
react_moa_mcts,host_input_generate,10,10.0,1365977.5,1318295.1,1285888.0,6.2,2.5,0.0,0.0,0.0,0.0,
react_moa_mcts,d2h_stage,10,10.0,1309915.5,1264190.0,1289181.3,1.6,-1.9,0.0,0.0,8640.0,8970.7,-3.7
react_moa_mcts,h2d_stage,10,10.0,1096236.0,1057969.5,1053896.7,4.0,0.4,0.0,0.0,4944.0,4896.0,1.0
react_moa_mcts,mir_operator:prefill_embed,10,10.0,992798.5,958142.7,883260.7,12.4,8.5,0.0,0.0,22656.0,22784.0,-0.6
react_moa_mcts,dag_schedule_gap,11,11.0,898909.0,867530.6,2143840.0,-58.1,-59.5,0.0,0.01,0.0,0.0,
react_moa_mcts,checksum_complete,10,10.0,483412.0,466537.4,472293.3,2.4,-1.2,0.0,0.0,0.0,0.0,
react_moa_mcts,agent_tool_execute_cpu,1,1.0,290996.5,280838.6,361551.3,-19.5,-22.3,0.0,0.0,0.0,0.0,
react_moa_mcts,iteration_tail_sync,1,1.0,137658.5,132853.2,129584.0,6.2,2.5,0.0,0.0,0.0,0.0,
react_moa_mcts,adapter_dispatch,10,10.0,40646.5,39227.6,55689.7,-27.0,-29.6,0.0,0.0,0.0,0.0,
