workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
react_tool,warmup,0,4810045724,1066575456,22.17,1064678513,1896943,1066575456,176096,668,4625456304
react_tool,warmup,1,4749204788,1056833993,22.25,1054937143,1896850,1056833993,176096,668,4568159450
react_tool,measured,0,4355147698,1055401437,24.23,1053515853,1885584,1055401437,176096,668,4181365060
react_tool,measured,1,4301565743,1052350321,24.46,1050460429,1889892,1052350321,176096,668,4131288722
react_tool,measured,2,4343609367,1052157310,24.22,1050277616,1879694,1052157310,176096,668,4165038650
