workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
planner_debate_L_it1,measured,planner-seed,6,RMSNormOp,ve,8,320494.8,321366.5,316727,322583,1938.2,440829,434605.5,424489,490637,7,72.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,planner-seed,7,AddOp,ve,8,14799.9,14800.0,14688,14912,67.8,84021.1,83114.5,79668,93788,1,17.6,elementwise_binary
planner_debate_L_it1,measured,planner-seed,8,RMSNormOp,ve,8,294303.5,290519.0,286680,325078,11718.3,360791.2,357169.0,352599,388118,7,81.6,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,planner-seed,10,LinearOp,me,8,635997.8,635773.5,634926,637550,727.9,761831.2,761502.5,751165,774947,1,83.5,gemm
planner_debate_L_it1,measured,planner-seed,11,LinearOp,me,8,634702,635070.0,632622,635886,1048.0,701695.8,701493.0,696247,708449,1,90.5,gemm
planner_debate_L_it1,measured,planner-seed,12,LinearOp,me,8,634917.9,634910.0,633998,635790,621.7,698572.4,698417.5,694003,702885,1,90.9,gemm
planner_debate_L_it1,measured,planner-seed,13,ViewOp,de,8,0,0.0,0,0,0.0,65101.1,63206.5,60940,72377,0,0.0,
planner_debate_L_it1,measured,planner-seed,14,TransposeOp,de,8,177638.9,177675.0,177211,177851,190.6,266491.1,264518.5,259449,277446,1,66.7,copy
planner_debate_L_it1,measured,planner-seed,,call_overhead,,8,1182698.4,1133168.0,1086786,1550804,142065.2,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,warmup,critic-a,6,RMSNormOp,ve,3,518822.7,518705,517841,519922,853.6,722250.7,654790,652742,859220,7,71.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-a,7,AddOp,ve,3,26388.3,27135,24863,27167,1078.7,116927.3,117352,110418,123012,1,22.6,elementwise_binary
planner_debate_L_it1,warmup,critic-a,8,RMSNormOp,ve,3,518577.3,495026,489586,571120,37219.6,604506.3,589085,571517,652917,7,85.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-a,10,LinearOp,me,3,852263.3,851975,851943,852872,430.6,1053662.3,1003800,999188,1157999,1,80.9,gemm|memset
planner_debate_L_it1,warmup,critic-a,11,LinearOp,me,3,852189,852008,851655,852904,525.7,955170.7,947044,944327,974141,1,89.2,gemm|memset
planner_debate_L_it1,warmup,critic-a,12,LinearOp,me,3,852498.3,852424,852423,852648,105.8,942522,942492,939382,945692,1,90.4,gemm|memset
planner_debate_L_it1,warmup,critic-a,13,ViewOp,de,3,0,0,0,0,0.0,81973.3,82052,81242,82626,0,0.0,
planner_debate_L_it1,warmup,critic-a,14,TransposeOp,de,3,228666,226874,226426,232698,2856.9,640021,331488,329810,1258765,1,35.7,copy
planner_debate_L_it1,warmup,critic-a,,call_overhead,,3,2730620.3,2589046,2565175,3037640,217314.3,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,warmup,critic-b,6,RMSNormOp,ve,3,517403.7,517297,517009,517905,373.5,649340,647749,642138,658133,7,79.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-b,7,AddOp,ve,3,26836.7,26879,26687,26944,109.1,104342.7,107286,96167,109575,1,25.7,elementwise_binary
planner_debate_L_it1,warmup,critic-b,8,RMSNormOp,ve,3,491932.7,490962,490770,494066,1510.5,570645.7,574160,561538,576239,7,86.2,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-b,10,LinearOp,me,3,882684,852296,852263,943493,42998.5,1030764.3,1006979,1005347,1079967,1,85.6,gemm|memset
planner_debate_L_it1,warmup,critic-b,11,LinearOp,me,3,852637.3,852712,852328,852872,228.3,988955.3,945031,941485,1080350,1,86.2,gemm|memset
planner_debate_L_it1,warmup,critic-b,12,LinearOp,me,3,852317.3,852328,851816,852808,405.1,935381.7,934174,931908,940063,1,91.1,gemm|memset
planner_debate_L_it1,warmup,critic-b,13,ViewOp,de,3,0,0,0,0,0.0,89181,85042,82710,99791,0,0.0,
planner_debate_L_it1,warmup,critic-b,14,TransposeOp,de,3,243481.3,226490,226330,277624,24142.6,347474.3,334199,325944,382280,1,70.1,copy
planner_debate_L_it1,warmup,critic-b,,call_overhead,,3,2948759.3,2962507,2861904,3021867,66024.2,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,warmup,critic-merge,6,RMSNormOp,ve,3,518598.3,519057,516529,520209,1537.0,646671,645243,640210,654560,7,80.2,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-merge,7,AddOp,ve,3,27017.7,27039,26815,27199,157.5,101485,103518,93813,107124,1,26.6,elementwise_binary
planner_debate_L_it1,warmup,critic-merge,8,RMSNormOp,ve,3,490333,490867,488594,491538,1259.8,572129,569206,566738,580443,7,85.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-merge,10,LinearOp,me,3,852721.7,852775,851879,853511,667.3,1001169.3,999919,988363,1015226,1,85.2,gemm|memset
planner_debate_L_it1,warmup,critic-merge,11,LinearOp,me,3,892732,852200,851528,974468,57796.7,980932.3,949464,926381,1066952,1,91.0,gemm|memset
planner_debate_L_it1,warmup,critic-merge,12,LinearOp,me,3,907494,897702,853320,971460,48724.9,1010980.7,996448,968511,1067983,1,89.8,gemm|memset
planner_debate_L_it1,warmup,critic-merge,13,ViewOp,de,3,0,0,0,0,0.0,95648.3,78412,68925,139608,0,0.0,
planner_debate_L_it1,warmup,critic-merge,14,TransposeOp,de,3,226255,226298,226138,226329,83.7,326642.3,327850,319450,332627,1,69.3,copy
planner_debate_L_it1,warmup,critic-merge,,call_overhead,,3,2947095,2945197,2887790,3008298,49215.5,,,,,2,,elementwise_binary|memcpy|rng_init
