policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00000,agent,6,166941278128722,166941341370311,166943807327167,63241589,2465956856,2529198445,1963,129
plas,p00002,agent,5,166942184280730,166942249244679,166943824944097,64963949,1575699418,1640663367,1590,83
plas,p00017,agent,5,166941215780811,166941278500944,166943948200251,62720133,2669699307,2732419440,896,139
plas,p00005,lats,5,166940955524336,166941016664600,166944197565430,61140264,3180900830,3242041094,459,165
plas,p00004,lats,7,166941435672678,166941497771875,166944216627116,62099197,2718855241,2780954438,647,142
plas,p00010,lats,9,166943172084153,166943233901926,166944292789414,61817773,1058887488,1120705261,684,54
plas,p00013,lats,4,166940774105189,166940842744310,166944525496249,68639121,3682751939,3751391060,657,190
plas,p00015,lats,7,166942744778992,166942809852497,166945088220388,65073505,2278367891,2343441396,545,119
plas,p00002,agent,6,166943825117444,166943894424018,166945184952201,69306574,1290528183,1359834757,1678,68
plas,p00005,lats,6,166944197744513,166944293253193,166945281959492,95508680,988706299,1084214979,398,54
plas,p00016,agent,3,166942436665311,166942498351846,166945378695208,61686535,2880343362,2942029897,951,150
plas,p00017,agent,6,166943948379658,166944010895753,166945378972628,62516095,1368076875,1430592970,1657,72
plas,p00019,agent,3,166943690069977,166943750987753,166945477283519,60917776,1726295766,1787213542,1392,90
plas,p00006,agent,5,166942183927114,166942249204351,166946010455804,65277237,3761251453,3826528690,597,196
plas,p00009,agent,6,166941117270986,166941178638674,166946030383761,61367688,4851745087,4913112775,1162,252
plas,p00013,lats,5,166944525622089,166944585949402,166946305359996,60327313,1719410594,1779737907,856,91
plas,p00004,lats,8,166944216776018,166944297903500,166946324800944,81127482,2026897444,2108024926,479,107
plas,p00018,agent,4,166943403317027,166943464212239,166946429165831,60895212,2964953592,3025848804,519,154
plas,p00017,agent,7,166945379016518,166945442861972,166946847966425,63845454,1405104453,1468949907,705,74
plas,p00019,agent,4,166945477490968,166945538257756,166947041357628,60766788,1503099872,1563866660,560,79
plas,p00008,agent,6,166943015147934,166943077830487,166947080301812,62682553,4002471325,4065153878,1594,208
plas,p00005,lats,7,166945282162051,166945341898332,166947664817001,59736281,2322918669,2382654950,811,122
plas,p00010,lats,10,166944292967855,166944357415516,166947771709372,64447661,3414293856,3478741517,907,179
plas,p00018,agent,5,166946429351610,166946491234732,166948300629417,61883122,1809394685,1871277807,777,96
plas,p00000,agent,7,166943807565238,166943888810298,166948379624646,81245060,4490814348,4572059408,681,235
plas,p00013,lats,6,166946305517805,166946389400047,166948379865777,83882242,1990465730,2074347972,661,106
plas,p00019,agent,5,166947041556331,166947102912086,166948557595324,61355755,1454683238,1516038993,636,77
plas,p00006,agent,6,166946010614946,166946097404458,166948657922437,86789512,2560517979,2647307491,1936,135
plas,p00015,lats,8,166945088413209,166945148969095,166948775938690,60555886,3626969595,3687525481,810,189
plas,p00009,agent,7,166946030508116,166946101983880,166948776347151,71475764,2674363271,2745839035,1893,140
plas,p00017,agent,8,166946848187286,166946911292389,166948893384954,63105103,1982092565,2045197668,964,104
plas,p00008,agent,7,166947080684023,166947145512054,166948913019987,64828031,1767507933,1832335964,725,93
plas,p00004,lats,9,166946324968396,166946394550704,166949425521118,69582308,3030970414,3100552722,1019,158
plas,p00002,agent,7,166945185177421,166945245273520,166949693096227,60096099,4447822707,4507918806,718,231
plas,p00016,agent,4,166945378816620,166945442894178,166950129838858,64077558,4686944680,4751022238,1994,244
plas,p00013,lats,7,166948379892199,166948445936880,166950264409566,66044681,1818472686,1884517367,929,95
plas,p00015,lats,9,166948776123001,166948839180523,166950457712918,63057522,1618532395,1681589917,823,85
plas,p00010,lats,11,166947771909084,166947835326995,166950556152544,63417911,2720825549,2784243460,696,142
plas,p00000,agent,8,166948379734547,166948445971372,166950710006345,66236825,2264034973,2330271798,1589,118
plas,p00009,agent,8,166948776408490,166948839220423,166950806823245,62811933,1967602822,2030414755,736,103
plas,p00005,lats,8,166947665035336,166947735741745,166950858659011,70706409,3122917266,3193623675,936,162
plas,p00018,agent,6,166948300799133,166948363520644,166951308435964,62721511,2944915320,3007636831,1656,153
plas,p00008,agent,8,166948913203338,166948986613649,166951814173047,73410311,2827559398,2900969709,1840,148
plas,p00010,lats,12,166950556325932,166950617503768,166951912155296,61177836,1294651528,1355829364,1014,68
plas,p00015,lats,10,166950457922722,166950518334600,166952313063689,60411878,1794729089,1855140967,845,94
plas,p00006,agent,7,166948658123463,166948720400514,166952332772614,62277051,3612372100,3674649151,717,188
plas,p00016,agent,5,166950130030865,166950190796982,166952398345721,60766117,2207548739,2268314856,1235,114
plas,p00019,agent,6,166948557767255,166948621438694,166952404192209,63671439,3782753515,3846424954,1759,196
plas,p00005,lats,9,166950858866640,166950909264337,166952687254139,50397697,1777989802,1828387499,664,93
plas,p00017,agent,9,166948893561518,166948979519841,166952916571251,85958323,3937051410,4023009733,757,206
plas,p00002,agent,8,166949693274546,166949750290864,166952996685810,57016318,3246394946,3303411264,545,169
plas,p00013,lats,8,166950264588179,166950327289387,166953095631053,62701208,2768341666,2831042874,990,144
plas,p00010,lats,13,166951912334146,166951974476719,166953212767819,62142573,1238291100,1300433673,921,65
plas,p00018,agent,7,166951308613912,166951379355375,166953517517179,70741463,2138161804,2208903267,1665,112
plas,p00009,agent,9,166950807020597,166950868954943,166953673153001,61934346,2804198058,2866132404,2031,146
plas,p00019,agent,7,166952404309756,166952464819983,166954243981575,60510227,1779161592,1839671819,650,94
plas,p00015,lats,11,166952313238127,166952398808001,166954263891871,85569874,1865083870,1950653744,262,99
plas,p00005,lats,10,166952687427762,166952749057719,166954937597627,61629957,2188539908,2250169865,749,115
plas,p00000,agent,9,166950710186626,166950770570874,166955034622560,60384248,4264051686,4324435934,941,222
plas,p00008,agent,9,166951814376139,166951876161406,166955152087223,61785267,3275925817,3337711084,789,171
plas,p00013,lats,9,166953095802255,166953156727505,166955268355624,60925250,2111628119,2172553369,788,111
plas,p00006,agent,8,166952332899511,166952404618740,166955402614236,71719229,2997995496,3069714725,766,157
plas,p00010,lats,14,166953212942697,166953272864668,166955403022064,59921971,2130157396,2190079367,643,112
plas,p00017,agent,10,166952916745673,166952980140073,166955705102442,63394400,2724962369,2788356769,2034,143
plas,p00016,agent,6,166952398521872,166952464851883,166956195485078,66330011,3730633195,3796963206,1763,195
plas,p00015,lats,12,166954264088446,166954334072792,166956234489668,69984346,1900416876,1970401222,960,100
plas,p00000,agent,10,166955034807853,166955096925930,166956508430848,62118077,1411504918,1473622995,1709,74
plas,p00010,lats,15,166955403082151,166955465188149,166956985572445,62105998,1520384296,1582490294,807,80
plas,p00008,agent,10,166955152328767,166955213512171,166957215672539,61183404,2002160368,2063343772,726,105
plas,p00002,agent,9,166952996858863,166953059597387,166957278606226,62738524,4219008839,4281747363,1669,220
plas,p00009,agent,10,166953673328405,166953734741535,166957324380669,61413130,3589639134,3651052264,870,187
plas,p00018,agent,8,166953517690362,166953582458480,166957566018108,64768118,3983559628,4048327746,1996,208
plas,p00019,agent,8,166954244238656,166954329397063,166957927179606,85158407,3597782543,3682940950,907,189
plas,p00013,lats,10,166955268516444,166955328963612,166958253436869,60447168,2924473257,2984920425,803,153
plas,p00010,lats,16,166956985775597,166957046890437,166958370702833,61114840,1323812396,1384927236,366,70
plas,p00005,lats,11,166954937775794,166954996662248,166958526721163,58886454,3530058915,3588945369,290,184
plas,p00002,agent,10,166957278805122,166957337417540,166959172278455,58612418,1834860915,1893473333,749,97
plas,p00015,lats,13,166956234606093,166956299238848,166959383727115,64632755,3084488267,3149121022,422,162
plas,p00013,lats,11,166958253611410,166958316577741,166959384191780,62966331,1067614039,1130580370,940,57
plas,p00006,agent,9,166955402779955,166955465215120,166959667923886,62435165,4202708766,4265143931,516,220
plas,p00018,agent,9,166957566191937,166957625209725,166959685930360,59017788,2060720635,2119738423,2033,109
plas,p00016,agent,7,166956195659355,166956259405991,166959964546722,63746636,3705140731,3768887367,1414,194
plas,p00000,agent,11,166956508601274,166956571327029,166960020861538,62725755,3449534509,3512260264,1226,180
plas,p00019,agent,9,166957927374560,166957988657647,166960295211725,61283087,2306554078,2367837165,934,121
plas,p00017,agent,11,166955705286702,166955778057494,166960356346751,72770792,4578289257,4651060049,2047,239
plas,p00010,lats,17,166958370873935,166958432607287,166960639057969,61733352,2206450682,2268184034,935,116
plas,p00008,agent,11,166957215844626,166957279172083,166961351486886,63327457,4072314803,4135642260,1349,214
plas,p00019,agent,10,166960295387509,166960356849646,166961573832509,61462137,1216982863,1278445000,823,66
plas,p00015,lats,14,166959383903913,166959445526617,166961627454204,61622704,2181927587,2243550291,419,115
plas,p00009,agent,11,166957324558573,166957380303494,166961844188010,55744921,4463884516,4519629437,1684,235
plas,p00005,lats,12,166958526892517,166958587556919,166962055227492,60664402,3467670573,3528334975,531,183
plas,p00013,lats,12,166959384254053,166959445552599,166962171640220,61298546,2726087621,2787386167,265,144
plas,p00002,agent,11,166959172390287,166959233937078,166962356228370,61546791,3122291292,3183838083,685,165
plas,p00015,lats,15,166961627581295,166961674403315,166962567140561,46822020,892737246,939559266,732,48
plas,p00016,agent,8,166959964705915,166960031250609,166962683837072,66544694,2652586463,2719131157,1925,141
plas,p00000,agent,12,166960021054468,166960070315364,166962852375160,49260896,2782059796,2831320692,1519,148
plas,p00010,lats,18,166960639234100,166960700603373,166962969297402,61369273,2268694029,2330063302,685,121
plas,p00019,agent,11,166961574036948,166961635672902,166963344845598,61635954,1709172696,1770808650,1796,91
