policy,class,calls,queue_wait_mean_ms,queue_wait_p90_ms,decode_mean_ms,decode_p90_ms
plas,agent,170,64.08,71.48,2931.74,4322.47
plas,chat,15,66.7,82.39,1305.14,2097.26
plas,lats,85,62.85,69.93,2203.85,3414.29
