lineage,workload,process,instances,cumulative_host_ns,share_pct,selected,median_ns,p90_ns,max_ns,mad_ns,gpu_owning
llm_vl,react_moa_mcts,mir_operator:prefill_sample,30,69215888.0,0.07,False,2533635.0,2878681.0,2916767.0,368682.5,True
llm_vl,react_moa_mcts,token_preprocess_cpu,30,48360756.0,0.05,False,1608441.0,2026180.0,2618542.0,226579.5,False
llm_vl,react_moa_mcts,pre_d2h_alloc,30,11437692.0,0.01,False,270340.0,486440.0,1635677.0,54502.5,True
llm_vl,react_moa_mcts,mir_operator:prefill_head,30,8601832.0,0.01,False,282332.0,306385.0,484891.0,14261.0,True
llm_vl,react_moa_mcts,dag_schedule_gap,33,5964778.0,0.01,False,113555.0,218560.0,931550.0,26867.0,False
llm_vl,react_moa_mcts,weight_init,30,5762074.0,0.01,False,189300.5,229814.0,254079.0,13330.5,False
llm_vl,react_moa_mcts,host_input_generate,30,4249406.0,0.0,False,137442.5,176667.0,190506.0,10077.5,False
llm_vl,react_moa_mcts,d2h_stage,30,4128765.0,0.0,False,127752.0,155306.0,210506.0,8165.0,True
llm_vl,react_moa_mcts,h2d_stage,30,3491315.0,0.0,False,110333.5,143339.0,178125.0,9024.5,True
llm_vl,react_moa_mcts,mir_operator:prefill_embed,30,2813953.0,0.0,False,92341.0,107677.0,113629.0,5567.0,True
llm_vl,react_moa_mcts,checksum_complete,30,1416449.0,0.0,False,46934.0,51387.0,52984.0,1957.5,False
llm_vl,react_moa_mcts,agent_tool_execute_cpu,3,1287152.0,0.0,False,428091.0,428091.0,444569.0,13599.0,False
llm_vl,react_moa_mcts,iteration_tail_sync,3,472117.0,0.0,False,164372.0,164372.0,170266.0,5894.0,False
llm_vl,react_moa_mcts,adapter_dispatch,30,155574.0,0.0,False,4617.5,6926.0,8894.0,800.5,False
