target,process,expected_instances_per_iter,observed_instances_per_iter,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,scaled_err_pct,template_absolute_share_pct,observed_share_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts_x3_L,host_input_generate,30,30.0,3204942336.0,3207070780.9,3206541493.0,-0.0,0.0,48.38,48.37,0.0,0.0,
react_moa_mcts_x3_L,mir_operator:LinearOp,90,90.0,2183959273.5,2185409669.9,2186313544.5,-0.1,-0.0,32.97,32.98,2167052854.5,2171923069.0,-0.2
react_moa_mcts_x3_L,mir_operator:RMSNormOp,60,60.0,862206216.0,862778818.6,862964627.8,-0.1,-0.0,13.02,13.02,844867533.0,848331013.1,-0.4
react_moa_mcts_x3_L,mir_operator:TransposeOp,30,30.0,206206146.0,206343090.2,208210034.2,-1.0,-0.9,3.11,3.14,202540344.0,204269415.8,-0.8
react_moa_mcts_x3_L,h2d_stage,30,30.0,43452289.5,43481146.7,44082661.4,-1.4,-1.4,0.66,0.67,38782465.5,39550019.5,-1.9
react_moa_mcts_x3_L,d2h_stage,30,30.0,42569547.0,42597818.0,42679251.9,-0.3,-0.2,0.64,0.64,40664668.5,40898448.1,-0.6
react_moa_mcts_x3_L,adapter_dispatch,30,30.0,29441689.5,29461242.1,25948218.6,13.5,13.5,0.44,0.39,0.0,0.0,
react_moa_mcts_x3_L,mir_operator:AddOp,30,30.0,21652662.0,21667041.8,20568449.0,5.3,5.3,0.33,0.31,17741239.5,16933049.8,4.8
react_moa_mcts_x3_L,token_preprocess_cpu,30,30.0,9636400.5,9642800.2,9760059.1,-1.3,-1.2,0.15,0.15,0.0,0.0,
react_moa_mcts_x3_L,weight_init,30,30.0,5980983.0,5984955.1,5634988.9,6.1,6.2,0.09,0.09,1486408.5,1478822.4,0.5
react_moa_mcts_x3_L,mir_operator:ViewOp,30,30.0,5017030.5,5020362.4,4708163.8,6.6,6.6,0.08,0.07,0.0,0.0,
react_moa_mcts_x3_L,inter_operator_dispatch,210,210.0,2985475.5,2987458.2,2716643.0,9.9,10.0,0.05,0.04,0.0,0.0,
react_moa_mcts_x3_L,checksum_complete,30,30.0,2664148.5,2665917.8,2478681.5,7.5,7.6,0.04,0.04,0.0,0.0,
react_moa_mcts_x3_L,dag_schedule_gap,33,33.0,1670889.0,1671998.7,4326340.8,-61.4,-61.4,0.03,0.07,0.0,0.0,
react_moa_mcts_x3_L,agent_tool_execute_cpu,3,3.0,1066234.5,1066942.6,923235.1,15.5,15.6,0.02,0.01,0.0,0.0,
react_moa_mcts_x3_L,pre_d2h_alloc,30,30.0,653475.0,653909.0,629384.8,3.8,3.9,0.01,0.01,0.0,0.0,
react_moa_mcts_x3_L,iteration_tail_sync,1,1.0,57932.0,57970.5,76145.4,-23.9,-23.9,0.0,0.0,0.0,0.0,
