label,phase,items,gpu_ns,gpu_share_pct
qwen3_a,gpu_model_runner: postprocess,29369,6518726676,84.97
qwen3_a,gpu_model_runner: forward,41451,837063951,10.91
qwen3_a,gpu_model_runner: preprocess,196137,187133877,2.44
qwen3_a,gpu_model_runner: sample,38996,125647445,1.64
qwen3_a,gpu_model_runner: AsyncGPUModelRunnerOutput,9749,13176897,0.17
qwen3_a,<unattributed>,0,1952,0.0
