policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00009,lats,192,37247232909266,37247258758636,37248223157600,25849370,964398964,990248334,600,178
plas,p00009,lats,190,37247353104889,37247378332230,37248404621028,25227341,1026288798,1051516139,857,190
plas,p00004,lats,197,37248289843579,37248310936410,37248667422337,21092831,356485927,377578758,479,64
plas,p00004,lats,199,37248367961951,37248390478173,37248667526743,22516222,277048570,299564792,288,49
plas,p00009,lats,195,37248444439646,37248465956222,37248667567146,21516576,201610924,223127500,487,35
plas,p00004,lats,196,37248266291515,37248289719919,37248698386056,23428404,408666137,432094541,396,73
plas,p00004,lats,198,37248493989441,37248526106844,37248708497342,32117403,182390498,214507901,411,34
plas,p00009,lats,196,37248505758346,37248526116235,37248915441887,20357889,389325652,409683541,464,73
plas,p00009,lats,197,37248490522885,37248523735577,37248983523174,33212692,459787597,493000289,957,87
plas,p00004,lats,195,37248597739982,37248619444446,37249099372938,21704464,479928492,501632956,607,93
plas,p00009,lats,199,37248548446481,37248571501631,37249119718407,23055150,548216776,571271926,670,105
plas,p00009,lats,198,37248716983203,37248741913060,37249338219316,24929857,596306256,621236113,403,113
plas,p00004,lats,203,37249131086001,37249158157890,37249513608026,27071889,355450136,382522025,351,65
plas,p00004,lats,204,37249117682288,37249156244566,37249589354262,38562278,433109696,471671974,716,78
plas,p00004,lats,201,37249315419333,37249338327537,37249611583982,22908204,273256445,296164649,327,48
plas,p00009,lats,204,37249449875587,37249481001237,37249690465474,31125650,209464237,240589887,699,39
plas,p00004,lats,200,37249367713616,37249389323420,37249706166106,21609804,316842686,338452490,358,56
plas,p00009,lats,202,37249454152763,37249483382929,37249732027769,29230166,248644840,277875006,563,46
plas,p00009,lats,203,37249523113728,37249545342768,37249804344699,22229040,259001931,281230971,272,49
plas,p00009,lats,200,37249642668679,37249666000515,37249945372456,23331836,279371941,302703777,527,56
plas,p00009,lats,201,37249572516536,37249592112910,37250081966254,19596374,489853344,509449718,379,96
plas,p00004,lats,202,37249422322871,37249446455194,37250186884328,24132323,740429134,764561457,793,138
plas,p00004,lats,207,37250255573757,37250286510283,37250470148820,30936526,183638537,214575063,735,34
plas,p00004,lats,209,37250251246372,37250283949232,37250505501203,32702860,221551971,254254831,304,42
plas,p00009,lats,206,37250090694197,37250115523899,37250541257574,24829702,425733675,450563377,708,75
plas,p00009,lats,205,37250143491276,37250167738595,37250628373473,24247319,460634878,484882197,445,83
