workload,launch_order,call_id,matrix_size,process,op_index,op_type,family,kernel_name,grid,block,ncu_status,ncu_replay_us,nsys_gpu_us,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,dram_read_bytes,dram_write_bytes,l2_throughput_pct,l2_hit_rate_pct,l1_throughput_pct,achieved_occupancy_pct,theoretical_occupancy_pct,waves_per_sm,registers_per_thread,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
planner_debate,99,planner-final,896,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(1, 1, 1)","(128, 1, 1)",profiled,1.952,1.18,0.02006,0.0,0.439665,0.0,8320.0,0.0,0.752677,91.062695,68.085106,8.293624,100.0,0.0,20.0,,imc_miss=8.02; long_scoreboard=4.63; wait=2.88,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,100,planner-final,896,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(1, 1, 1)","(128, 1, 1)",profiled,2.016,1.25,0.02278,0.0,0.500801,0.0,9600.0,0.0,0.87247,87.523208,64.810127,8.302567,100.0,0.0,26.0,,imc_miss=5.54; long_scoreboard=3.45; wait=1.99,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,101,planner-final,896,mir_operator:RMSNormOp,6,RMSNormOp,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(3136, 1, 1)","(128, 1, 1)",profiled,5.92,3.39,15.039157,0.0,56.014403,0.0,3225856.0,0.0,28.239165,52.00568,12.958279,74.218551,100.0,2.04,16.0,,long_scoreboard=37.06; imc_miss=3.50; wait=2.34,"underutilised: SM 15 %, DRAM 56 %, L2 28 %, occ 74 %"
planner_debate,102,planner-final,896,mir_operator:RMSNormOp,6,RMSNormOp,copy,"void at::vectorized_elementwise_kernel<8, at::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[l","(784, 1, 1)","(128, 1, 1)",profiled,5.376,2.02,1.457689,0.0,61.728577,0.0,3216128.0,0.0,24.265054,35.169407,7.940667,30.542695,100.0,0.51,22.0,,long_scoreboard=207.38; imc_miss=19.68; wait=3.10,DRAM-bandwidth-bound
planner_debate,103,planner-final,896,mir_operator:AddOp,7,AddOp,elementwise_binary,"void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, 2","(784, 1, 1)","(128, 1, 1)",profiled,3.712,1.7,2.83123,0.0,44.89512,0.0,1610880.0,0.0,20.934212,51.926632,10.031135,32.395314,100.0,0.51,22.0,,long_scoreboard=66.80; imc_miss=11.74; wait=1.93,"underutilised: SM 3 %, DRAM 45 %, L2 21 %, occ 32 %"
planner_debate,104,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,copy,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(,"(784, 1, 1)","(128, 1, 1)",profiled,5.632,4.03,15.856924,0.0,30.375466,0.0,1667200.0,0.0,29.42806,70.063085,13.230354,47.413302,100.0,0.51,38.0,,long_scoreboard=14.53; wait=4.51; imc_miss=2.78,"underutilised: SM 16 %, DRAM 30 %, L2 29 %, occ 47 %"
planner_debate,105,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>::pow_tensor_scalar_kernel_impl<float, f","(784, 1, 1)","(128, 1, 1)",profiled,5.28,2.56,1.766442,0.0,62.51244,0.0,3216000.0,0.0,28.549766,51.008353,12.747223,33.195374,100.0,0.51,20.0,,long_scoreboard=189.90; imc_miss=16.34; drain=2.92,DRAM-bandwidth-bound
planner_debate,106,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,reduce,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanOps<float, float, float, float>, unsigned","(56, 1, 1)","(32, 16, 1)",profiled,6.688,3.2,2.767504,0.0,49.647366,0.0,3261824.0,0.0,19.610796,16.012135,13.329384,33.251249,100.0,0.15,26.0,,long_scoreboard=30.59; imc_miss=9.25; barrier=3.80,"underutilised: SM 3 %, DRAM 50 %, L2 20 %, occ 33 %"
planner_debate,107,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,elementwise_binary,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnSelf_add<float>, std::array<char *, 2>>(i","(1, 1, 1)","(128, 1, 1)",profiled,1.984,1.15,0.020106,0.0,0.441576,0.0,8320.0,0.0,0.745922,86.821015,68.602054,8.297045,100.0,0.0,20.0,,imc_miss=7.87; long_scoreboard=4.71; wait=2.88,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,108,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,elementwise_unary,"void at::vectorized_elementwise_kernel<4, at::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda()","(1, 1, 1)","(128, 1, 1)",profiled,2.048,1.25,0.02646,0.0,0.496557,0.0,9600.0,0.0,0.870878,87.37037,64.42953,8.31236,100.0,0.0,26.0,,imc_miss=5.51; long_scoreboard=3.46; wait=1.99,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate,109,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,elementwise_binary,"void at::elementwise_kernel<128, 2, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<float, float, ","(3136, 1, 1)","(128, 1, 1)",profiled,5.76,3.42,15.010912,0.0,57.321234,0.0,3225984.0,0.0,28.801621,51.809517,12.965148,74.026433,100.0,2.04,16.0,,long_scoreboard=35.63; imc_miss=3.56; wait=2.34,"underutilised: SM 15 %, DRAM 57 %, L2 29 %, occ 74 %"
planner_debate,110,planner-final,896,mir_operator:RMSNormOp,8,RMSNormOp,copy,"void at::vectorized_elementwise_kernel<8, at::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[l","(784, 1, 1)","(128, 1, 1)",profiled,5.344,1.95,1.450987,0.0,61.532621,0.0,3216000.0,0.0,24.275604,35.188721,7.856345,30.701445,100.0,0.51,22.0,,long_scoreboard=206.63; imc_miss=21.06; wait=3.10,DRAM-bandwidth-bound
planner_debate,111,planner-final,896,mir_operator:LinearOp,10,LinearOp,gemm,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,"(7, 14, 1)","(128, 1, 1)",profiled,15.584,14.62,28.560045,40.994457,21.103798,0.0,3225984.0,0.0,46.657489,93.266498,30.745843,8.330501,8.333333,0.77,138.0,92.3,math_pipe_throttle=7.37; wait=2.34; selected=1.00,tensor-core compute-bound
planner_debate,112,planner-final,896,mir_operator:LinearOp,11,LinearOp,gemm,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,"(7, 14, 1)","(128, 1, 1)",profiled,15.488,14.59,28.590255,40.952275,21.195506,0.0,3226112.0,0.0,46.700849,93.241135,30.714206,8.330528,8.333333,0.77,138.0,92.9,math_pipe_throttle=7.35; wait=2.34; selected=1.00,tensor-core compute-bound
planner_debate,113,planner-final,896,mir_operator:LinearOp,12,LinearOp,gemm,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,"(7, 14, 1)","(128, 1, 1)",profiled,15.488,14.49,28.598321,40.996239,21.264174,0.0,3225984.0,128.0,46.793694,93.259008,30.747179,8.330531,8.333333,0.77,138.0,92.9,math_pipe_throttle=7.36; wait=2.34; selected=1.00,tensor-core compute-bound
planner_debate,114,planner-final,896,mir_operator:TransposeOp,14,TransposeOp,copy,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::","(1568, 1, 1)","(128, 1, 1)",profiled,13.12,12.09,5.348833,0.0,12.640326,0.0,1623552.0,2176.0,80.662703,93.921581,36.582179,88.135444,100.0,1.02,16.0,,long_scoreboard=139.60; lg_throttle=14.32; drain=6.88,L2-bandwidth-bound (working set in L2)
