Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
33.9,482739025,1,482739025.0,482739025.0,482739025,482739025,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
18.1,257049593,25,10281983.7,154104.0,126312,253437190,50657336.7,PushPop,:agentsys.mllm::plan::10::LinearOp
12.9,183231974,25,7329279.0,276819.0,227844,176716079,35288924.1,PushPop,:agentsys.mllm::plan::6::RMSNormOp
1.6,22167122,1,22167122.0,22167122.0,22167122,22167122,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
1.5,21781680,1,21781680.0,21781680.0,21781680,21781680,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=5
1.3,18853060,1,18853060.0,18853060.0,18853060,18853060,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=16
1.3,18774099,1,18774099.0,18774099.0,18774099,18774099,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
1.3,18769607,1,18769607.0,18769607.0,18769607,18769607,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
1.3,18689933,1,18689933.0,18689933.0,18689933,18689933,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
1.3,18675361,1,18675361.0,18675361.0,18675361,18675361,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=3
1.3,18654300,1,18654300.0,18654300.0,18654300,18654300,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=4
1.3,18643331,1,18643331.0,18643331.0,18643331,18643331,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
1.3,18576726,1,18576726.0,18576726.0,18576726,18576726,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=19
1.3,18573729,1,18573729.0,18573729.0,18573729,18573729,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=3
1.3,18568296,1,18568296.0,18568296.0,18568296,18568296,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
1.3,18532810,1,18532810.0,18532810.0,18532810,18532810,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=17
1.3,18485613,1,18485613.0,18485613.0,18485613,18485613,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=7
1.3,18482516,1,18482516.0,18482516.0,18482516,18482516,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=6
1.3,18425678,1,18425678.0,18425678.0,18425678,18425678,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=18
1.3,18409739,1,18409739.0,18409739.0,18409739,18409739,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=12
1.3,18220405,1,18220405.0,18220405.0,18220405,18220405,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=8
1.3,18068260,1,18068260.0,18068260.0,18068260,18068260,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=15
1.3,17997765,1,17997765.0,17997765.0,17997765,17997765,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=14
1.2,17754793,1,17754793.0,17754793.0,17754793,17754793,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=13
1.2,17599478,1,17599478.0,17599478.0,17599478,17599478,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=10
1.2,17517030,1,17517030.0,17517030.0,17517030,17517030,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=11
1.2,17480211,1,17480211.0,17480211.0,17480211,17480211,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=9
0.5,6900340,25,276013.6,273067.0,228146,404011,32381.1,PushPop,:agentsys.mllm::answer::6::RMSNormOp
0.4,6057066,25,242282.6,231653.0,207383,290823,21203.0,PushPop,:agentsys.mllm::answer::8::RMSNormOp
0.4,5994644,25,239785.8,230994.0,204826,450554,46658.7,PushPop,:agentsys.mllm::plan::8::RMSNormOp
0.3,3833034,25,153321.4,153639.0,127645,195428,17171.8,PushPop,:agentsys.mllm::answer::10::LinearOp
0.3,3751564,25,150062.6,119997.0,105908,853409,146840.0,PushPop,:agentsys.mllm::answer::11::LinearOp
0.3,3574532,25,142981.3,129536.0,112087,450013,65320.6,PushPop,:agentsys.mllm::plan::14::TransposeOp
0.2,3229667,25,129186.7,128658.0,110238,168645,12914.2,PushPop,:agentsys.mllm::answer::14::TransposeOp
0.2,3147215,25,125888.6,119471.0,105881,300588,37079.7,PushPop,:agentsys.mllm::plan::11::LinearOp
0.2,3031083,25,121243.3,112355.0,102368,317038,41564.6,PushPop,:agentsys.mllm::answer::12::LinearOp
0.2,2843989,25,113759.6,111156.0,103709,165347,12256.4,PushPop,:agentsys.mllm::plan::12::LinearOp
0.2,2767066,25,110682.6,101178.0,92438,327344,45476.5,PushPop,:agentsys.mllm::plan::7::AddOp
0.2,2692928,25,107717.1,102162.0,92876,161804,14183.0,PushPop,:agentsys.mllm::answer::7::AddOp
0.1,2046916,25,81876.6,74719.0,66993,176871,24550.5,PushPop,:agentsys.mllm::plan::13::ViewOp
0.1,1854451,25,74178.0,73375.0,65917,89848,5401.3,PushPop,:agentsys.mllm::answer::13::ViewOp
