workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
react_tool,7,24,plan,mir_operator:LinearOp,12,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,145309.2,145318.8,12382,9614,96x2x2,128x1x1,7
react_tool,7,25,plan,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,145526.4,145538.9,9342,12488,1152x1x1,128x1x1,7
react_tool,7,26,plan,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,145640.0,145653.9,90510,13882,0x0x0,0x0x0,7
react_tool,7,27,answer,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,154053.7,154069.1,82448,15451,0x0x0,0x0x0,7
react_tool,7,28,answer,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,154231.1,154249.3,3583,18202,768x1x1,256x1x1,7
react_tool,7,29,answer,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,154281.8,154290.3,1439,8510,576x1x1,128x1x1,7
react_tool,7,30,answer,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,154368.8,154377.8,3488,8994,576x1x1,128x1x1,7
react_tool,7,31,answer,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,154393.7,154401.1,2111,7400,576x1x1,128x1x1,7
react_tool,7,32,answer,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,154418.7,154426.7,3103,7983,48x1x1,32x16x1,7
react_tool,7,33,answer,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,154440.1,154447.5,1151,7421,1x1x1,128x1x1,7
react_tool,7,34,answer,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,154459.7,154466.8,1184,7081,1x1x1,128x1x1,7
react_tool,7,35,answer,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,154480.6,154487.7,2943,7177,2304x1x1,128x1x1,7
react_tool,7,36,answer,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,154502.8,154510.0,1728,7192,576x1x1,128x1x1,7
react_tool,7,37,answer,mir_operator:AddOp,7,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, ",cudaLaunchKernel_v7000,154623.0,154632.4,1440,9480,576x1x1,128x1x1,7
react_tool,7,38,answer,mir_operator:RMSNormOp,8,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,154728.0,154737.1,3455,9103,576x1x1,128x1x1,7
react_tool,7,39,answer,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,154751.6,154759.0,2080,7378,576x1x1,128x1x1,7
