workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool,measured,0,answer,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3406171159,3406345168,174009,12893,12893,1,1,59538,10,cudaEventRecord,114471,gemm|memset
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3406345168,3406354220,9052,0,0,0,0,0,0,,9052,
react_tool,measured,0,answer,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3406354220,3406474841,120621,12702,12702,1,1,34333,10,cuLaunchKernel,86288,gemm|memset
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3406474841,3406483801,8960,0,0,0,0,0,0,,8960,
react_tool,measured,0,answer,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3406483801,3406596196,112395,12669,12669,1,1,33155,10,cuLaunchKernel,79240,gemm|memset
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3406596196,3406603613,7417,0,0,0,0,0,0,,7417,
react_tool,measured,0,answer,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3406603613,3406677702,74089,0,0,0,0,14693,7,cudaEventRecord,59396,
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3406677702,3406683567,5865,0,0,0,0,0,0,,5865,
react_tool,measured,0,answer,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3406683567,3406813311,129744,9406,9406,1,0,30193,8,cudaLaunchKernel,99551,copy
react_tool,measured,0,answer,llm,pre_d2h_alloc,,,,gap_between_markers,3406813311,3406827674,14363,0,0,0,0,0,0,,14363,
react_tool,measured,0,answer,llm,d2h_stage,,,,host_event,3406827674,3406973950,146276,90414,90414,0,1,97332,6,cudaEventSynchronize,48944,memcpy
react_tool,measured,0,answer,llm,checksum_complete,,,,gap_between_markers,3406973950,3407044954,71004,0,0,0,0,2224,2,cudaEventDestroy,68780,
react_tool,measured,0,,dag,iteration_tail_sync,,,,gap_to_phase_end,3407044954,3407096304,51350,0,0,0,0,9938,3,cudaDeviceSynchronize,41412,
react_tool,measured,1,,dag,dag_schedule_gap,,,,gap_between_markers,3407115601,3407126258,10657,0,0,0,0,0,0,,10657,
react_tool,measured,1,plan,llm,adapter_dispatch,,,,gap_between_markers,3407126258,3408323117,1196859,0,0,0,0,0,0,,1196859,
react_tool,measured,1,plan,llm,token_preprocess_cpu,,,,host_event,3408323117,3408627595,304478,0,0,0,0,0,0,,304478,
react_tool,measured,1,plan,llm,host_input_generate,,,,gap_between_markers,3408627595,3413765699,5138104,0,0,0,0,8212,2,cudaEventQuery,5129892,
react_tool,measured,1,plan,llm,h2d_stage,,,,host_event,3413765699,3413947218,181519,80144,80144,0,1,93851,6,cudaEventSynchronize,87668,memcpy
react_tool,measured,1,plan,llm,weight_init,,,,gap_between_markers,3413947218,3414103387,156169,4991,4991,2,0,36127,7,cudaLaunchKernel,120042,elementwise_binary|rng_init
