target,process,expected_instances_per_iter,observed_instances_per_iter,template_absolute_host_ns,template_scaled_host_ns,observed_host_ns,abs_err_pct,scaled_err_pct,template_absolute_share_pct,observed_share_pct,template_gpu_ns,observed_gpu_ns,gpu_err_pct
react_moa_mcts,mir_operator:prefill_sample,10,10.0,19077980.0,19674114.3,23071962.7,-17.3,-14.7,0.06,0.07,81473.0,81408.3,0.1
react_moa_mcts,token_preprocess_cpu,10,10.0,14842295.0,15306075.8,16120252.0,-7.9,-5.1,0.05,0.05,0.0,0.0,
react_moa_mcts,mir_operator:prefill_layer00,10,10.0,13150325.0,13561236.4,13146052.3,0.0,3.2,0.04,0.04,6573409.0,7161225.3,-8.2
react_moa_mcts,mir_operator:prefill_layer01,10,10.0,11890332.0,12261872.1,11910915.3,-0.2,2.9,0.04,0.04,6555439.0,7036998.0,-6.8
react_moa_mcts,mir_operator:prefill_layer02,10,10.0,11426404.0,11783447.7,11585512.0,-1.4,1.7,0.03,0.03,6549455.5,7056031.7,-7.2
react_moa_mcts,mir_operator:prefill_layer03,10,10.0,11332909.5,11687031.7,11462558.0,-1.1,2.0,0.03,0.03,6564615.5,7048179.0,-6.9
react_moa_mcts,mir_operator:prefill_layer19,10,10.0,11111308.0,11458505.8,11149070.0,-0.3,2.8,0.03,0.03,6542438.5,7073083.7,-7.5
react_moa_mcts,mir_operator:prefill_layer35,10,10.0,11092929.0,11439552.5,11265418.3,-1.5,1.5,0.03,0.03,6563720.0,7040648.3,-6.8
react_moa_mcts,mir_operator:prefill_layer20,10,10.0,11077665.5,11423812.0,11123791.7,-0.4,2.7,0.03,0.03,6550864.0,7067990.0,-7.3
react_moa_mcts,mir_operator:prefill_layer34,10,10.0,11076377.5,11422483.8,11258124.0,-1.6,1.5,0.03,0.03,6570881.5,7067104.3,-7.0
react_moa_mcts,mir_operator:prefill_layer24,10,10.0,11056963.5,11402463.2,11483494.0,-3.7,-0.7,0.03,0.03,7237185.0,7044448.7,2.7
react_moa_mcts,mir_operator:prefill_layer21,10,10.0,11052532.5,11397893.7,11170160.7,-1.1,2.0,0.03,0.03,6559377.5,7105324.0,-7.7
react_moa_mcts,mir_operator:prefill_layer22,10,10.0,11051158.0,11396476.3,11241481.0,-1.7,1.4,0.03,0.03,6590529.5,7046402.0,-6.5
react_moa_mcts,mir_operator:prefill_layer18,10,10.0,11048145.0,11393369.1,11165467.3,-1.1,2.0,0.03,0.03,6558520.0,7102044.3,-7.7
react_moa_mcts,mir_operator:prefill_layer15,10,10.0,11001398.0,11345161.4,11300849.0,-2.6,0.4,0.03,0.03,6591415.5,7074218.3,-6.8
react_moa_mcts,mir_operator:prefill_layer16,10,10.0,10963048.5,11305613.6,11374323.7,-3.6,-0.6,0.03,0.03,6557110.5,7081954.7,-7.4
react_moa_mcts,mir_operator:prefill_layer23,10,10.0,10961303.5,11303814.0,11526716.0,-4.9,-1.9,0.03,0.03,6582042.5,7022464.3,-6.3
react_moa_mcts,mir_operator:prefill_layer33,10,10.0,10944520.0,11286506.1,11222959.3,-2.5,0.6,0.03,0.03,6556865.0,7049930.0,-7.0
react_moa_mcts,mir_operator:prefill_layer17,10,10.0,10944025.5,11285996.2,11225737.3,-2.5,0.5,0.03,0.03,6935225.5,7098407.0,-2.3
react_moa_mcts,mir_operator:prefill_layer26,10,10.0,10933662.0,11275308.8,11509140.7,-5.0,-2.0,0.03,0.03,6558937.5,7024317.0,-6.6
react_moa_mcts,mir_operator:prefill_layer11,10,10.0,10886832.5,11227016.0,11263920.7,-3.3,-0.3,0.03,0.03,6561248.0,7064408.3,-7.1
react_moa_mcts,mir_operator:prefill_layer29,10,10.0,10871189.0,11210883.7,11346276.7,-4.2,-1.2,0.03,0.03,6563744.0,7107976.7,-7.7
react_moa_mcts,mir_operator:prefill_layer10,10,10.0,10864761.5,11204255.4,11268226.0,-3.6,-0.6,0.03,0.03,6576986.0,7013024.3,-6.2
react_moa_mcts,mir_operator:prefill_layer28,10,10.0,10862963.5,11202401.2,11419264.0,-4.9,-1.9,0.03,0.03,6553809.0,7098192.3,-7.7
react_moa_mcts,mir_operator:prefill_layer27,10,10.0,10857529.0,11196796.9,11440577.7,-5.1,-2.1,0.03,0.03,6553656.5,7135423.7,-8.2
react_moa_mcts,mir_operator:prefill_layer06,10,10.0,10855466.5,11194669.9,11265859.0,-3.6,-0.6,0.03,0.03,6580344.0,7060310.0,-6.8
react_moa_mcts,mir_operator:prefill_layer25,10,10.0,10853727.5,11192876.6,11447748.7,-5.2,-2.2,0.03,0.03,6558608.5,7042216.0,-6.9
react_moa_mcts,mir_operator:prefill_layer32,10,10.0,10805973.5,11143630.4,11283315.7,-4.2,-1.2,0.03,0.03,6566918.5,7044786.7,-6.8
react_moa_mcts,mir_operator:prefill_layer14,10,10.0,10796680.5,11134047.0,11321944.0,-4.6,-1.7,0.03,0.03,6558696.0,7056797.3,-7.1
react_moa_mcts,mir_operator:prefill_layer31,10,10.0,10791542.0,11128748.0,11253017.7,-4.1,-1.1,0.03,0.03,6555568.0,7092848.3,-7.6
react_moa_mcts,mir_operator:prefill_layer12,10,10.0,10784969.0,11121969.6,11236844.3,-4.0,-1.0,0.03,0.03,6602734.5,7019444.0,-5.9
react_moa_mcts,mir_operator:prefill_layer13,10,10.0,10768438.0,11104922.0,11288180.0,-4.6,-1.6,0.03,0.03,6563640.0,7059815.0,-7.0
react_moa_mcts,mir_operator:prefill_layer07,10,10.0,10742956.0,11078643.8,11312605.3,-5.0,-2.1,0.03,0.03,6550582.5,7111123.3,-7.9
react_moa_mcts,mir_operator:prefill_layer05,10,10.0,10714857.0,11049666.8,11262116.0,-4.9,-1.9,0.03,0.03,6542873.5,7037031.7,-7.0
