Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
25.5,926571811,2186,423866.3,130022.0,37442,1595525,474652.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align8>(T1::Params)
18.4,669984252,2528,265025.4,211305.0,138630,1496320,176355.4,ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f_tn
15.8,572385935,3936,145423.3,153686.5,7937,409234,35382.9,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
14.2,514441314,3424,150245.7,145622.0,41921,627898,99112.3,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_tn_align8>(T1::Params)
10.5,382706564,1188,322143.6,235562.0,79299,3366256,513000.4,ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f_tn
2.2,81027579,640,126605.6,73603.0,60067,627547,115462.8,ampere_bf16_s1688gemm_bf16_64x64_sliced1x4_ldg8_f2f_tn
1.9,70123741,1504,46624.8,41234.0,38945,253003,11551.7,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1.5,54914474,704,78003.5,56354.0,51298,342895,40120.4,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_tn
1.4,52196504,140,372832.2,38241.0,37409,1156625,495408.9,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
1.2,44081925,693,63610.3,65763.0,16737,377296,21877.0,_gumbel_sample_kernel
1.2,41905756,288,145506.1,125669.5,54274,474228,85753.5,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)"
0.9,33199950,32,1037498.4,1017755.0,1002571,1291127,62425.9,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_tn
