workload,matrix_size,process,matched_kernel_family,kernel_family_instance_count,ncu_status,ncu_profiled_kernel_names,first_launch_order,sm_throughput_pct,tensor_pipe_active_pct,dram_cycles_active_pct,dram_bw_pct_of_peak,l2_throughput_pct,l2_hit_rate_pct,achieved_occupancy_pct,waves_per_sm,gemm_tflops_from_replay,dominant_stalls,hardware_bottleneck_interpretation
planner_debate_L_it1,3584,weight_init,rng_init,2,profiled,void at::<unnamed>::distribution_elementwise_grid_stride_ker,2,70.33,0.0,46.24,0.0,37.25,98.62,67.79,1.0,,not_selected=3.77; math_pipe_throttle=2.14; wait=1.65,SM-issue-bound
planner_debate_L_it1,3584,weight_init,elementwise_binary,2,profiled,"void at::vectorized_elementwise_kernel<8, at::BUnaryFunctor<",3,4.31,0.0,92.61,0.0,32.73,50.2,86.21,8.17,,long_scoreboard=173.00; drain=18.81; short_scoreboard=3.40,DRAM-bandwidth-bound
planner_debate_L_it1,3584,mir_operator:RMSNormOp,copy,8,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,4,5.31,0.0,89.5,0.0,35.76,51.17,86.92,8.17,,long_scoreboard=31.58; wait=4.59; no_instruction=1.02,DRAM-bandwidth-bound
planner_debate_L_it1,3584,mir_operator:RMSNormOp,elementwise_unary,8,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",5,0.96,0.0,47.22,0.0,14.99,64.95,42.45,4.08,,long_scoreboard=339.55; drain=95.45; mio_throttle=53.62,DRAM-bandwidth-bound
planner_debate_L_it1,3584,mir_operator:RMSNormOp,reduce,4,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",6,2.2,0.0,90.15,0.0,34.1,1.3,58.18,0.58,,long_scoreboard=278.78; barrier=10.23; imc_miss=4.39,DRAM-bandwidth-bound
planner_debate_L_it1,3584,mir_operator:RMSNormOp,elementwise_binary,8,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",7,7.31,0.0,46.99,0.0,14.25,64.59,47.73,16.34,,imc_miss=20.18; long_scoreboard=14.94; no_instruction=2.34,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
planner_debate_L_it1,3584,mir_operator:AddOp,elementwise_binary,2,profiled,"void at::vectorized_elementwise_kernel<8, at::CUDAFunctorOnS",11,4.57,0.0,92.74,0.0,33.1,50.2,85.47,8.17,,long_scoreboard=168.10; drain=18.54; short_scoreboard=3.26,DRAM-bandwidth-bound
planner_debate_L_it1,3584,mir_operator:LinearOp,gemm,6,profiled,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_rel,19,43.79,44.86,12.03,0.0,90.94,98.67,16.44,12.25,143.8,math_pipe_throttle=7.48; long_scoreboard=2.16; barrier=2.14,tensor-core compute-bound
planner_debate_L_it1,3584,mir_operator:TransposeOp,copy,2,profiled,"void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl",22,6.19,0.0,22.7,0.0,91.87,93.85,88.33,16.33,,long_scoreboard=144.07; drain=11.88; short_scoreboard=7.78,L2-bandwidth-bound (working set in L2)
planner_debate_L_it1,4096,weight_init,rng_init,3,profiled,void at::<unnamed>::distribution_elementwise_grid_stride_ker,25,71.21,0.0,57.52,0.0,38.31,100.07,67.82,1.0,,not_selected=3.77; math_pipe_throttle=2.13; wait=1.65,SM-issue-bound
planner_debate_L_it1,4096,weight_init,elementwise_binary,3,profiled,"void at::vectorized_elementwise_kernel<8, at::BUnaryFunctor<",26,5.19,0.0,93.5,0.0,30.87,50.16,87.03,10.67,,long_scoreboard=174.55; drain=19.84; short_scoreboard=3.32,DRAM-bandwidth-bound
planner_debate_L_it1,4096,mir_operator:RMSNormOp,copy,12,profiled,void at::unrolled_elementwise_kernel<at::direct_copy_kernel_,27,11.18,0.0,91.08,0.0,32.38,50.21,87.72,10.67,,long_scoreboard=29.93; wait=4.59; no_instruction=1.08,DRAM-bandwidth-bound
planner_debate_L_it1,4096,mir_operator:RMSNormOp,elementwise_unary,12,profiled,"void at::vectorized_elementwise_kernel<4, void at::<unnamed>",28,0.89,0.0,47.39,0.0,14.06,64.25,42.57,5.33,,long_scoreboard=353.63; drain=109.78; mio_throttle=82.52,DRAM-bandwidth-bound
planner_debate_L_it1,4096,mir_operator:RMSNormOp,reduce,6,profiled,"void at::reduce_kernel<512, 1, at::ReduceOp<float, at::MeanO",29,2.03,0.0,90.49,0.0,30.77,1.01,66.11,0.67,,long_scoreboard=327.35; barrier=16.45; imc_miss=3.73,DRAM-bandwidth-bound
planner_debate_L_it1,4096,mir_operator:RMSNormOp,elementwise_binary,12,profiled,"void at::vectorized_elementwise_kernel<4, at::CUDAFunctorOnS",30,7.13,0.0,47.16,0.0,13.87,53.31,48.51,21.34,,imc_miss=25.77; long_scoreboard=21.20; no_instruction=2.94,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak"
