workload,phase,iteration,call_id,op_index,op_type,kind,family,name,correlation_id,api_name,api_start,api_end,gpu_start,gpu_end,gpu_ns,stream,grid,block,registers,static_smem,dynamic_smem,bytes
react_tool,warmup,0,plan,8,RMSNormOp,kernel,copy,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)8, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",527,cudaLaunchKernel_v7000,3045952467,3045970113,3045968388,3045972003,3615,7,576x1x1,128x1x1,38,0,0,0
react_tool,warmup,0,plan,8,RMSNormOp,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",538,cudaLaunchKernel_v7000,3046001948,3046011697,3046011484,3046013627,2143,7,576x1x1,128x1x1,20,0,0,0
react_tool,warmup,0,plan,8,RMSNormOp,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)",552,cudaLaunchKernel_v7000,3046048896,3046058153,3046058290,3046061458,3168,7,48x1x1,32x16x1,26,16,0,0
react_tool,warmup,0,plan,8,RMSNormOp,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)",558,cudaLaunchKernel_v7000,3046085288,3046094041,3046094603,3046095787,1184,7,1x1x1,128x1x1,20,0,0,0
react_tool,warmup,0,plan,8,RMSNormOp,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",568,cudaLaunchKernel_v7000,3046115174,3046122745,3046123078,3046124293,1215,7,1x1x1,128x1x1,26,0,0,0
react_tool,warmup,0,plan,8,RMSNormOp,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",578,cudaLaunchKernel_v7000,3046147033,3046154429,3046154751,3046157695,2944,7,2304x1x1,128x1x1,16,0,0,0
react_tool,warmup,0,plan,8,RMSNormOp,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",591,cudaLaunchKernel_v7000,3046175299,3046182696,3046183194,3046184953,1759,7,576x1x1,128x1x1,22,0,0,0
react_tool,warmup,0,plan,10,LinearOp,memset,memset,memset,2438,cudaMemsetAsync_v3020,3299307790,3299340506,3299339595,3299340043,448,7,0x0x0,0x0x0,0,0,0,576
react_tool,warmup,0,plan,10,LinearOp,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),2439,cuLaunchKernel,3299341759,3299387018,3299378019,3299390465,12446,7,96x2x2,128x1x1,96,0,49152,0
react_tool,warmup,0,plan,11,LinearOp,memset,memset,memset,2491,cudaMemsetAsync_v3020,3299996185,3300011945,3300013286,3300013702,416,7,0x0x0,0x0x0,0,0,0,576
react_tool,warmup,0,plan,11,LinearOp,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),2492,cuLaunchKernel,3300012436,3300032098,3300028931,3300041249,12318,7,96x2x2,128x1x1,96,0,49152,0
react_tool,warmup,0,plan,12,LinearOp,memset,memset,memset,2544,cudaMemsetAsync_v3020,3300172345,3300179438,3300180645,3300181061,416,7,0x0x0,0x0x0,0,0,0,576
react_tool,warmup,0,plan,12,LinearOp,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),2545,cuLaunchKernel,3300179942,3300214494,3300192611,3300205024,12413,7,96x2x2,128x1x1,96,0,49152,0
react_tool,warmup,0,plan,14,TransposeOp,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",2624,cudaLaunchKernel_v7000,3300683730,3300823983,3300814792,3300824166,9374,7,1152x1x1,128x1x1,16,0,0,0
react_tool,warmup,0,answer,,call_overhead,memcpy,memcpy,memcpy_Device-to-Host,2672,cudaMemcpyAsync_v3020,3302657870,3302688211,3302686295,3302777573,91278,7,0x0x0,0x0x0,0,0,0,1179648
react_tool,warmup,0,answer,,call_overhead,memcpy,memcpy,memcpy_Host-to-Device,2736,cudaMemcpyAsync_v3020,3311457811,3311480826,3311480082,3311556611,76529,7,0x0x0,0x0x0,0,0,0,1179648
react_tool,warmup,0,answer,,call_overhead,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::<unnamed>::distribution_nullary_kernel<c10::Half, float, float4, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_and_transform<c10::Half, float, at::CUDAGeneratorImpl *, void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T3, T4)::[lambda(curandStatePhilox4_32_10 *) (instance 2)], void at::native::templates::cuda::normal_kernel<at::CUDAGeneratorImpl *>(const at::TensorBase &, double, double, T1)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, T4, const T5 &, T6)::[lambda(int, float) (instance 1)]>(long, at::PhiloxCudaState, T3, T4)",2789,cudaLaunchKernel_v7000,3311682279,3311709336,3311705925,3311709476,3551,7,768x1x1,256x1x1,40,0,0,0
react_tool,warmup,0,answer,,call_overhead,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>>(int, T2, T3)",2799,cudaLaunchKernel_v7000,3311764896,3311777676,3311777335,3311778807,1472,7,576x1x1,128x1x1,20,0,0,0
react_tool,warmup,0,answer,6,RMSNormOp,kernel,copy,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)8, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",2822,cudaLaunchKernel_v7000,3311898156,3311911770,3311911677,3311915196,3519,7,576x1x1,128x1x1,38,0,0,0
react_tool,warmup,0,answer,6,RMSNormOp,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",2833,cudaLaunchKernel_v7000,3311942449,3311951724,3311951893,3311954100,2207,7,576x1x1,128x1x1,20,0,0,0
react_tool,warmup,0,answer,6,RMSNormOp,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4, (int)4>>(T3)",2847,cudaLaunchKernel_v7000,3311981239,3311991724,3311991789,3311995020,3231,7,48x1x1,32x16x1,26,16,0,0
react_tool,warmup,0,answer,6,RMSNormOp,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>>(int, T2, T3)",2853,cudaLaunchKernel_v7000,3312021950,3312031555,3312031813,3312032997,1184,7,1x1x1,128x1x1,20,0,0,0
react_tool,warmup,0,answer,6,RMSNormOp,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)",2863,cudaLaunchKernel_v7000,3312053508,3312062235,3312062335,3312063583,1248,7,1x1x1,128x1x1,26,0,0,0
