workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
planner_debate,warmup,0,540182747,1954916,0.36,524294,1430622,1954916,105,10,435732529
planner_debate,warmup,1,76935106,1974815,2.57,521667,1453148,1974815,105,10,6255484
planner_debate,warmup,2,76023998,2030550,2.67,574774,1455776,2030550,105,10,6104300
planner_debate,warmup,3,75931277,1965793,2.59,521536,1444257,1965793,105,10,6122219
planner_debate,warmup,4,77384132,1973151,2.55,521505,1451646,1973151,105,10,6232324
planner_debate,measured,0,73280620,1420061,1.94,520574,899487,1420061,105,10,5389566
planner_debate,measured,1,74822145,1769346,2.36,522369,1246977,1769346,105,10,5865486
planner_debate,measured,2,76146361,1975330,2.59,521096,1454234,1975330,105,10,6185519
planner_debate,measured,3,76001447,2126444,2.8,673227,1453217,2126444,105,10,6241001
planner_debate,measured,4,76084334,1977765,2.6,521034,1456731,1977765,105,10,6002197
planner_debate,measured,5,61325234,2120906,3.46,660908,1459998,2120906,105,10,6620687
planner_debate,measured,6,61047932,1983712,3.25,520998,1462714,1983712,105,10,6349433
planner_debate,measured,7,61019011,1980739,3.25,521255,1459484,1980739,105,10,6272666
planner_debate,measured,8,61339447,2211315,3.61,520960,1690355,2211315,105,10,6036106
planner_debate,measured,9,61994133,1978945,3.19,521569,1457376,1978945,105,10,6171739
planner_debate,measured,10,61353164,1975362,3.22,520612,1454750,1975362,105,10,6261069
planner_debate,measured,11,61770322,1980606,3.21,521985,1458621,1980606,105,10,6289174
planner_debate,measured,12,62269435,1977414,3.18,522570,1454844,1977414,105,10,6527976
planner_debate,measured,13,61554564,2183010,3.55,724486,1458524,2183010,105,10,6455928
planner_debate,measured,14,61277772,2007134,3.28,543236,1463898,2007134,105,10,6128090
planner_debate,measured,15,64091313,1923214,3.0,521380,1401834,1923214,105,10,6920993
planner_debate,measured,16,66045669,1464801,2.22,557921,906880,1464801,105,10,6104548
planner_debate,measured,17,69703051,1757544,2.52,521796,1235748,1757544,105,10,6659554
planner_debate,measured,18,60488509,1985216,3.28,521828,1463388,1985216,105,10,6256591
planner_debate,measured,19,67577963,1980481,2.93,521125,1459356,1980481,105,10,6699327
