bucket,target_slices,actual_busy_frac,predicted_busy_frac,err_pct
0,151,0.326,0.2928,-10.2
1,7,0.1883,0.1798,-4.5
2-3,4,0.0713,0.0748,4.9
4-7,18,0.0929,0.0959,3.2
8-15,57,0.0955,0.0955,-0.0
16-31,43,0.1067,0.0952,-10.8
