policy,class,calls,queue_wait_mean_ms,queue_wait_p90_ms,decode_mean_ms,decode_p90_ms
agentix_core,bfcl,69,63.52,92.68,552.73,899.58
agentix_core,lats,1330,62.42,84.54,1313.56,2200.4
agentix_core,sharegpt,8,57.68,66.73,6131.55,7305.21
