label,concurrent_requests,gpu_ns,gpu_share_pct,top_families
eager_tiny,1,231023403,6.05,gemv:95.6%;attention:2.2%;other:1.3%;elementwise_binary:0.5%
eager_tiny,2-3,243701261,6.39,gemm:88.1%;gemv:6.7%;attention:2.4%;other:1.5%
eager_tiny,4-7,1990974554,52.18,gemm:92.9%;attention:3.8%;other:1.5%;elementwise_binary:0.7%
eager_tiny,8-15,1350098248,35.38,gemm:90.7%;attention:6.6%;other:1.4%;elementwise_binary:0.6%
