lineage,workload,opportunity,evidence,current_ns_per_iter,reference_ns_per_iter,bound_pct_of_wall,note
scaled,react_tool_L,move_input_generation_to_device,host_input_generate host vs weight_init GPU rng for the same shape,134400169.875,57765.875,56.13,seeded CPU-generator uniform_ into pinned fp16 is single-threaded and O(n^2); device randn for the same n^2 is the weight_init GPU time
scaled,react_tool_L,remove_per_operator_synchronize,mir_operator host range vs launch-owned GPU time,96118912.375,93172666.375,1.23,each operator ends with cudaEventSynchronize; the host range minus GPU work is dispatch + sync latency that async launch would hide
scaled,react_tool_L,gpu_idle_window,1 - gpu_busy_union / wall over measured iterations,142927428.25,96538208.25,59.69,"upper bound on wall reduction if all host work were overlapped or removed; single stream, no kernel concurrency observed"
scaled,planner_debate_L,move_input_generation_to_device,host_input_generate host vs weight_init GPU rng for the same shape,519392878.75,239263.375,48.2,seeded CPU-generator uniform_ into pinned fp16 is single-threaded and O(n^2); device randn for the same n^2 is the weight_init GPU time
scaled,planner_debate_L,remove_per_operator_synchronize,mir_operator host range vs launch-owned GPU time,533337897.875,525990833.0,0.68,each operator ends with cudaEventSynchronize; the host range minus GPU work is dispatch + sync latency that async launch would hide
scaled,planner_debate_L,gpu_idle_window,1 - gpu_busy_union / wall over measured iterations,538295887.0,539328982.0,49.95,"upper bound on wall reduction if all host work were overlapped or removed; single stream, no kernel concurrency observed"
scaled,react_moa_mcts_x3_L,move_input_generation_to_device,host_input_generate host vs weight_init GPU rng for the same shape,3206541493.0,1478822.375,48.37,seeded CPU-generator uniform_ into pinned fp16 is single-threaded and O(n^2); device randn for the same n^2 is the weight_init GPU time
scaled,react_moa_mcts_x3_L,remove_per_operator_synchronize,mir_operator host range vs launch-owned GPU time,3282764819.25,3241456547.625,0.62,each operator ends with cudaEventSynchronize; the host range minus GPU work is dispatch + sync latency that async launch would hide
scaled,react_moa_mcts_x3_L,gpu_idle_window,1 - gpu_busy_union / wall over measured iterations,3305178085.0,3323383837.625,49.86,"upper bound on wall reduction if all host work were overlapped or removed; single stream, no kernel concurrency observed"
