bucket,target_slices,actual_busy_frac,predicted_busy_frac,err_pct
0,151,0.1085,0.0877,-19.2
1,58,0.1316,0.1183,-10.1
2-3,143,0.1333,0.1332,-0.0
4-7,341,0.134,0.1344,0.3
8-15,312,0.1381,0.1391,0.7
16-31,37,0.1465,0.1515,3.4
