arrival_rate,policy,programs,llm_calls,wall_s,throughput_programs_per_s,throughput_tokens_per_s,ptl_mean_ms,ptl_p50_ms,ptl_p90_ms,ptl_p99_ms,response_mean_ms,response_p90_ms,response_p99_ms,call_latency_mean_ms,call_latency_p90_ms,ptl_by_class,workload_sha256
1,fcfs,37,424,100.211501259,0.3692190969614581,588.6450083962013,20.203694041528138,20.228169887344915,21.529517316037733,21.900389604838715,31794.689746135136,71679.619769,84093.981604,2774.3535574056605,4176.752531,"{""agent"": 19.84, ""chat"": 20.28, ""lats"": 20.58}",85a24a5004f1dbcd07d764ce76b16ef74a93807cf09913fef95ba788d46bc10d
1,plas,37,424,99.956983519,0.37015922947461666,590.1438591210315,20.09138401889327,20.104482788089335,21.411288473270446,21.57910034701493,31644.518872972974,71411.99733099999,83839.479116,2761.248882042453,4145.656329,"{""agent"": 19.75, ""chat"": 20.14, ""lats"": 20.46}",85a24a5004f1dbcd07d764ce76b16ef74a93807cf09913fef95ba788d46bc10d
2,fcfs,62,771,128.968068276,0.48073915372071785,807.9596864008471,22.541031521577615,22.75468286586554,24.261491082125605,25.08630280952379,37699.81161020968,81417.501277,97827.329642,3031.4541254228275,4551.130684,"{""agent"": 22.12, ""chat"": 22.1, ""lats"": 23.32}",7988fed954da2928f8ef77de21ee1b86b454e701977e603a099376793e06f8f7
2,plas,62,771,128.909133792,0.48095893732432843,808.329068195683,22.53221811306385,22.74075005326405,24.131413724137925,25.000942204081625,37673.02337166129,81357.886341,97764.539584,3029.308911158236,4548.923109,"{""agent"": 22.11, ""chat"": 22.11, ""lats"": 23.3}",7988fed954da2928f8ef77de21ee1b86b454e701977e603a099376793e06f8f7
4,fcfs,129,1614,154.080737283,0.8372234081607864,1465.19288511289,29.305998189281006,30.046144246564584,33.910515478900884,36.141116892976584,50868.03854574418,105099.305005,124443.440203,4065.490503564436,6375.150059,"{""agent"": 28.63, ""chat"": 27.76, ""lats"": 31.34}",25afa523e2947b27da1b0dcaacd8bf735b6987a27dc9c0233a94f38e7be9c8a3
4,plas,129,1614,153.942815508,0.8379735005775324,1466.5055933595547,29.233293068858845,29.93676624084919,33.90345852109911,35.88791877926421,50720.026681031006,104741.047408,124272.75271100001,4053.6653103475837,6363.675382,"{""agent"": 28.55, ""chat"": 27.71, ""lats"": 31.26}",25afa523e2947b27da1b0dcaacd8bf735b6987a27dc9c0233a94f38e7be9c8a3
