Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
8.8,1655711363,1,1655711363.0,1655711363.0,1655711363,1655711363,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
6.5,1219345305,1,1219345305.0,1219345305.0,1219345305,1219345305,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
6.0,1124368497,1,1124368497.0,1124368497.0,1124368497,1124368497,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
5.8,1091364774,1,1091364774.0,1091364774.0,1091364774,1091364774,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=3
5.7,1083889688,1,1083889688.0,1083889688.0,1083889688,1083889688,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
5.7,1080541580,1,1080541580.0,1080541580.0,1080541580,1080541580,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
5.7,1080047785,1,1080047785.0,1080047785.0,1080047785,1080047785,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
5.7,1078165458,1,1078165458.0,1078165458.0,1078165458,1078165458,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=5
5.7,1077607647,1,1077607647.0,1077607647.0,1077607647,1077607647,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=7
5.7,1072111708,1,1072111708.0,1072111708.0,1072111708,1072111708,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
5.6,1057270312,1,1057270312.0,1057270312.0,1057270312,1057270312,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=6
2.4,450885528,11,40989593.5,20077935.0,20050762,249680719,69215103.9,PushPop,:agentsys.mllm::planner-seed::10::LinearOp
1.6,297412277,11,27037479.7,27137451.0,26040530,27807962,577116.6,PushPop,:agentsys.mllm::critic-b::12::LinearOp
1.6,295526922,11,26866083.8,26946841.0,26145443,27785272,443312.2,PushPop,:agentsys.mllm::critic-a::12::LinearOp
1.6,295153237,11,26832112.5,27013094.0,26051674,27814601,500589.3,PushPop,:agentsys.mllm::critic-b::11::LinearOp
1.6,294707552,11,26791595.6,26870650.0,25769710,27586292,598113.4,PushPop,:agentsys.mllm::critic-merge::12::LinearOp
1.6,292969886,11,26633626.0,26503685.0,25840785,27427932,537883.7,PushPop,:agentsys.mllm::critic-a::11::LinearOp
1.5,289166948,11,26287904.4,26337155.0,25691653,26957853,398202.4,PushPop,:agentsys.mllm::critic-merge::11::LinearOp
1.5,288635959,11,26239632.6,26162386.0,25654265,27959989,622975.1,PushPop,:agentsys.mllm::critic-a::10::LinearOp
1.5,288301925,11,26209265.9,26013169.0,25637260,28165975,683853.4,PushPop,:agentsys.mllm::critic-b::10::LinearOp
1.5,287856411,11,26168764.6,26086147.0,25653279,26497847,258787.5,PushPop,:agentsys.mllm::critic-merge::10::LinearOp
1.3,246849585,11,22440871.4,9478206.0,9289415,151791983,42901358.7,PushPop,:agentsys.mllm::planner-seed::6::RMSNormOp
1.2,226504903,11,20591354.8,20561387.0,19793178,21218997,479215.9,PushPop,:agentsys.mllm::planner-seed::12::LinearOp
1.2,226435510,11,20585046.4,20653587.0,20137933,20962518,314538.3,PushPop,:agentsys.mllm::planner-final::12::LinearOp
1.2,221895889,11,20172353.5,20174569.0,19999506,20343649,116422.7,PushPop,:agentsys.mllm::planner-final::11::LinearOp
1.2,221864035,11,20169457.7,20117565.0,19789989,20783445,265879.1,PushPop,:agentsys.mllm::planner-seed::11::LinearOp
1.2,219466729,11,19951520.8,20063041.0,19752818,20159765,173995.5,PushPop,:agentsys.mllm::planner-final::10::LinearOp
1.0,180700217,11,16427292.5,16532079.0,16099679,16602684,190949.3,PushPop,:agentsys.mllm::critic-a::6::RMSNormOp
1.0,180044998,11,16367727.1,16419193.0,16080551,16619283,194694.2,PushPop,:agentsys.mllm::critic-b::6::RMSNormOp
1.0,179485209,11,16316837.2,16357094.0,16088088,16532847,176827.5,PushPop,:agentsys.mllm::critic-merge::6::RMSNormOp
0.9,178640557,11,16240050.6,16312091.0,15987043,16495806,189194.1,PushPop,:agentsys.mllm::critic-merge::8::RMSNormOp
0.9,178333698,11,16212154.4,16152545.0,15992869,16468409,168641.0,PushPop,:agentsys.mllm::critic-b::8::RMSNormOp
0.9,177168646,11,16106240.5,16077182.0,15993613,16462137,135254.8,PushPop,:agentsys.mllm::critic-a::8::RMSNormOp
0.6,104668622,11,9515329.3,9590729.0,9187620,9760611,254710.7,PushPop,:agentsys.mllm::planner-final::8::RMSNormOp
0.6,104237518,11,9476138.0,9343556.0,9252578,9800188,228538.4,PushPop,:agentsys.mllm::planner-final::6::RMSNormOp
0.5,102087236,11,9280657.8,9228628.0,9187807,9751906,160102.2,PushPop,:agentsys.mllm::planner-seed::8::RMSNormOp
0.4,83003718,11,7545792.5,7425132.0,7314199,7876480,223253.8,PushPop,:agentsys.mllm::critic-a::14::TransposeOp
0.4,80832825,11,7348438.6,7369965.0,6922728,7664022,179309.9,PushPop,:agentsys.mllm::critic-b::14::TransposeOp
0.4,80220386,11,7292762.4,7317309.0,6872023,7922479,275055.9,PushPop,:agentsys.mllm::critic-merge::14::TransposeOp
0.3,65287046,11,5935186.0,5870639.0,5433801,6350344,313771.8,PushPop,:agentsys.mllm::planner-final::14::TransposeOp
0.3,64463380,11,5860307.3,5872010.0,5420797,6370152,331137.0,PushPop,:agentsys.mllm::planner-seed::14::TransposeOp
0.0,8703671,11,791242.8,764409.0,731757,981331,76723.7,PushPop,:agentsys.mllm::critic-b::7::AddOp
0.0,8494736,11,772248.7,758558.0,746871,819249,25090.3,PushPop,:agentsys.mllm::critic-a::7::AddOp
0.0,8385336,11,762303.3,753688.0,735995,829892,27866.9,PushPop,:agentsys.mllm::critic-merge::7::AddOp
0.0,7202569,11,654779.0,604493.0,541878,869543,108026.6,PushPop,:agentsys.mllm::planner-seed::7::AddOp
0.0,6545027,11,595002.5,567908.0,531253,750450,76364.2,PushPop,:agentsys.mllm::planner-final::7::AddOp
0.0,2051744,11,186522.2,183924.0,138749,283731,39863.1,PushPop,:agentsys.mllm::planner-seed::13::ViewOp
0.0,2002128,11,182011.6,185520.0,146437,220736,28559.8,PushPop,:agentsys.mllm::critic-a::13::ViewOp
0.0,1993792,11,181253.8,173211.0,160593,228245,19555.8,PushPop,:agentsys.mllm::critic-b::13::ViewOp
0.0,1899407,11,172673.4,166908.0,142773,215527,24924.9,PushPop,:agentsys.mllm::critic-merge::13::ViewOp
0.0,1798332,11,163484.7,164065.0,146485,190943,14492.4,PushPop,:agentsys.mllm::planner-final::13::ViewOp
