# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      2      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      2      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      3      0      0      0      0 
    0    100     54      0      0      0      0 
    1      6      1      0      0      0      0 
    0    100     55      0      0      0      0 
    1     15      1      0      0      0      0 
    0    100     57      0      0      0      0 
    1     35      1      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1    100     28      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1     42     44      0      0      0      0 
    0    100     54      0      0      0      0 
    1     88     93      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     54      0      0      0      0 
    1     82     86      0      0      0      0 
    0    100     54      0      0      0      0 
    1     89     92      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     56      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     58      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     57      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     57      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     56      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1     89     94      0      0      0      0 
    0    100     55      0      0      0      0 
    1     94     99      0      0      0      0 
    0    100     55      0      0      0      0 
    1     96    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     56      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     58      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     57      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     57      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     57      0      0      0      0 
    1    100    100      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     54      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1     99    100      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1      4      5      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      1      1      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     56      0      0      0      0 
    1     78     85      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1      5      5      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1     96     97      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     55      0      0      0      0 
    1     96     94      0      0      0      0 
    0    100     55      0      0      0      0 
    1     80     87      0      0      0      0 
    0    100     55      0      0      0      0 
    1     64     72      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     58      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     57      0      0      0      0 
    1     62     70      0      0      0      0 
    0    100     57      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     56      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100     54      0      0      0      0 
    1      0      0      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
