# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      5      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      4      0      0      0      0 
    0    100    100      0      0      0      0 
    1      3      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     32      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1     31      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1     33      1      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
    0    100    100      0      0      0      0 
    1     24     26      0      0      0      0 
    0    100    100      0      0      0      0 
    1     86     93      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1     85     89      0      0      0      0 
    0    100    100      0      0      0      0 
    1     93     92      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1     97    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0    100    100      0      0      0      0 
    1    100    100      0      0      0      0 
    0     81     81      0      0      0      0 
    1    100    100      0      0      0      0 
    0      0      0      0      0      0      0 
    1     86     95      0      0      0      0 
    0      0      0      0      0      0      0 
    1     70     78      0      0      0      0 
    0      0      0      0      0      0      0 
    1     21     24      0      0      0      0 
    0    100    100      0      0      0      0 
    1     89      7      0      0      0      0 
    0    100    100      0      0      0      0 
    1      0      0      0      0      0      0 
