bucket,target_slices,actual_busy_frac,predicted_busy_frac,err_pct
0,199,0.1721,0.1046,-39.2
1,36,0.083,0.0812,-2.2
2-3,143,0.0829,0.0819,-1.2
4-7,362,0.086,0.0871,1.3
8-15,469,0.1016,0.1028,1.1
16-31,95,0.1123,0.1245,10.9
