workload,phase,iteration,call_id,op_index,op_type,engine,attribution_basis,nvtx_cpu_ns,nvtx_start,gpu_work_ns,kernel_ns,memcpy_memset_ns,kernel_count,memcpy_memset_count,launch_to_gpu_start_ns,gpu_span_ns,kernel_families,kernel_names
planner_debate_L,measured,2,critic-b,,call_overhead,,gap_before_operator,,,2947069,53630,2893439,2,2,26339,117663847,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,2,critic-merge,,call_overhead,,gap_before_operator,,,2899389,53054,2846335,2,2,20171,123381478,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,2,planner-final,,call_overhead,,gap_before_operator,,,3695012,39967,3655045,2,3,24110,180831512,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
planner_debate_L,measured,2,planner-seed,6,RMSNormOp,ve,nvtx_operator_range,9299808,8669411060,9010223,9010223,0,224,0,17421,9151628,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,planner-seed,7,AddOp,ve,nvtx_operator_range,588827,8678730257,432309,432309,0,32,0,13327,487984,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
planner_debate_L,measured,2,planner-seed,8,RMSNormOp,ve,nvtx_operator_range,9271260,8679339631,9050446,9050446,0,224,0,8525,9192235,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
planner_debate_L,measured,2,planner-seed,10,LinearOp,me,nvtx_operator_range,20090275,8688622718,19890403,19890403,0,32,0,10858,19910082,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
planner_debate_L,measured,2,planner-seed,11,LinearOp,me,nvtx_operator_range,20194075,8708731303,20049086,20049086,0,32,0,11868,20069916,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
planner_debate_L,measured,2,planner-seed,12,LinearOp,me,nvtx_operator_range,20561387,8728935005,20462415,20462415,0,32,0,7190,20484046,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
planner_debate_L,measured,2,planner-seed,13,ViewOp,de,nvtx_operator_range,168599,8749520654,0,0,0,0,0,,,,
