workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
planner_debate_L,measured,planner-final,,call_overhead,,8,3747058.9,3694771.5,3645991,4115544,142722.7,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,measured,planner-seed,6,RMSNormOp,ve,8,9225770.1,9107854.0,9010223,9544603,207341.0,9509176.2,9417885.5,9299808,9806013,224,97.0,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,planner-seed,7,AddOp,ve,8,433358.1,431922.5,431313,443600,3898.5,615269.6,595208.0,541878,823177,32,70.4,elementwise_binary
planner_debate_L,measured,planner-seed,8,RMSNormOp,ve,8,8998705.8,8992020.0,8968946,9050446,27097.5,9226874.4,9218713.5,9187807,9271260,224,97.5,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,planner-seed,10,LinearOp,me,8,19940879.2,19901095.0,19861279,20271100,125945.8,20127141.6,20077921.0,20050762,20438979,32,99.1,gemm
planner_debate_L,measured,planner-seed,11,LinearOp,me,8,20043688.5,20024159.0,19808297,20352977,147957.8,20152305.4,20136827.0,19927177,20462926,32,99.5,gemm
planner_debate_L,measured,planner-seed,12,LinearOp,me,8,20420767.6,20449405.5,19708686,21079998,446331.2,20543105.4,20560279.5,19793178,21218997,32,99.4,gemm
planner_debate_L,measured,planner-seed,13,ViewOp,de,8,0,0.0,0,0,0.0,171546.6,167172.0,138749,219874,0,0.0,
planner_debate_L,measured,planner-seed,14,TransposeOp,de,8,5684829.5,5719807.0,5301486,6216206,270947.5,5825339.1,5858674.0,5420797,6370152,32,97.6,copy
planner_debate_L,measured,planner-seed,,call_overhead,,8,1176124.1,1099675.0,1080603,1672168,188920.5,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,warmup,critic-a,6,RMSNormOp,ve,3,15996682.3,15883014,15808358,16298675,215705.1,16396136.3,16443084,16185249,16560076,224,97.6,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,warmup,critic-a,7,AddOp,ve,3,653353.7,655593,645707,658761,5559.5,780332.7,787011,747530,806457,32,83.7,elementwise_binary
planner_debate_L,warmup,critic-a,8,RMSNormOp,ve,3,15998559.7,15878147,15872867,16244665,174036.1,16239239.3,16128260,16127321,16462137,224,98.5,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,warmup,critic-a,10,LinearOp,me,3,26454619.7,26068169,25730836,27564854,797041.9,26741921.7,26282110,25983666,27959989,32,98.9,gemm|memset
planner_debate_L,warmup,critic-a,11,LinearOp,me,3,26817265.3,27067339,26187781,27196676,448233.5,27031070.7,27277595,26387685,27427932,32,99.2,gemm|memset
planner_debate_L,warmup,critic-a,12,LinearOp,me,3,27001301.3,26738419,26735092,27530393,374126.8,27212056.7,26946841,26904057,27785272,32,99.2,gemm|memset
planner_debate_L,warmup,critic-a,13,ViewOp,de,3,0,0,0,0,0.0,196582.3,219777,149234,220736,0,0.0,
planner_debate_L,warmup,critic-a,14,TransposeOp,de,3,7509718,7573726,7263146,7692282,180946.0,7663348.3,7737645,7425132,7827268,32,98.0,copy
planner_debate_L,warmup,critic-a,,call_overhead,,3,2599388.7,2566025,2502378,2729763,95780.4,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,warmup,critic-b,6,RMSNormOp,ve,3,16246626.7,16281304,16164474,16294102,58325.2,16537835.3,16575030,16419193,16619283,224,98.2,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,warmup,critic-b,7,AddOp,ve,3,650686,638473,638473,675112,17271.8,842325.3,813888,731757,981331,32,77.2,elementwise_binary
planner_debate_L,warmup,critic-b,8,RMSNormOp,ve,3,15811697.7,15791208,15779083,15864802,37875.3,16056390,16067826,15992869,16108475,224,98.5,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,warmup,critic-b,10,LinearOp,me,3,26367010,25743099,25427236,27930695,1113186.3,26595041.3,25981889,25637260,28165975,32,99.1,gemm|memset
planner_debate_L,warmup,critic-b,11,LinearOp,me,3,27091657,26844241,26838102,27592628,354248.9,27288988.3,27039270,27013094,27814601,32,99.3,gemm|memset
planner_debate_L,warmup,critic-b,12,LinearOp,me,3,27067709.7,27140907,26476890,27585332,455469.9,27250371.7,27266277,26676876,27807962,32,99.3,gemm|memset
planner_debate_L,warmup,critic-b,13,ViewOp,de,3,0,0,0,0,0.0,200211.3,199178,173211,228245,0,0.0,
planner_debate_L,warmup,critic-b,14,TransposeOp,de,3,7304605.3,7264552,7165006,7484258,133375.8,7457923,7405482,7304265,7664022,32,97.9,copy
planner_debate_L,warmup,critic-b,,call_overhead,,3,3051917.7,2998843,2959835,3197075,103869.8,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,warmup,critic-merge,6,RMSNormOp,ve,3,16102161.3,16062910,16060955,16182619,56897.8,16378754,16357094,16327704,16451464,224,98.3,copy|elementwise_binary|elementwise_unary|reduce
