workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
planner_debate_L,warmup,0,1655711363,548048179,33.1,534376835,13671344,548048179,3050,298,914769757
planner_debate_L,warmup,1,1219345305,540814224,44.35,526960325,13853899,540814224,3050,298,535573490
planner_debate_L,warmup,2,1124368497,541108146,48.13,527961552,13146594,541108146,3050,298,534837664
planner_debate_L,measured,0,1083889688,541192755,49.93,527667868,13524887,541192755,3050,298,535282786
planner_debate_L,measured,1,1080047785,539246676,49.93,526103536,13143140,539246676,3050,298,533621186
planner_debate_L,measured,2,1080541580,542036233,50.16,528255705,13780528,542036233,3050,298,535786557
planner_debate_L,measured,3,1091364774,536295051,49.14,523032170,13262881,536295051,3050,298,530744733
planner_debate_L,measured,4,1072111708,537958406,50.18,524882524,13075882,537958406,3050,298,531698712
planner_debate_L,measured,5,1078165458,540250552,50.11,527116718,13133834,540250552,3050,298,534781991
planner_debate_L,measured,6,1057270312,537787181,50.87,524649761,13137420,537787181,3050,298,531111486
planner_debate_L,measured,7,1077607647,539865002,50.1,526218382,13646620,539865002,3050,298,533675732
