label,concurrent_requests,gpu_ns,gpu_share_pct,top_families
qwen3_core_r03,1,295072294,2.7,gemv:93.0%;attention:2.2%;memcpy:1.4%;elementwise_other:1.3%
qwen3_core_r03,2-3,1096715513,10.02,gemm:87.1%;attention:4.0%;gemv:3.8%;memcpy:1.5%
qwen3_core_r03,4-7,2759102992,25.2,gemm:85.4%;attention:8.7%;memcpy:2.1%;copy:1.1%
qwen3_core_r03,8-15,4821852028,44.05,gemm:74.8%;attention:19.7%;memcpy:1.9%;copy:1.2%
qwen3_core_r03,16-31,1994805130,18.22,gemm:64.9%;attention:30.2%;memcpy:1.4%;copy:1.2%
