policy,class,calls,queue_wait_mean_ms,queue_wait_p90_ms,decode_mean_ms,decode_p90_ms
agentix_core,bfcl,97,29.47,39.99,189.24,305.62
agentix_core,lats,1523,32.71,46.26,450.75,755.22
agentix_core,sharegpt,9,25.41,29.44,1910.23,2459.53
