lineage,workload,process,selected,share_pct,resource_status,reason,family,sm_pct,tensor_pct,dram_active_pct,dram_bw_pct_peak,l2_pct,occupancy_pct,waves_per_sm,hw_source_workload
base,planner_debate,mir_operator:RMSNormOp,False,4.22,profiled,"underutilised: SM 3 %, DRAM 57 %, L2 23 %, occ 33 %",reduce,2.83,0.0,57.19,0.0,22.48,33.26,0.17,planner_debate
base,planner_debate,mir_operator:RMSNormOp,False,4.22,profiled,"latency/launch-bound: 0.00 waves per SM, no unit above 30 % of peak",elementwise_binary,7.75,0.0,30.74,0.0,15.52,41.56,1.33,planner_debate
base,planner_debate,inter_operator_dispatch,False,0.49,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,planner_debate,mir_operator:AddOp,False,0.84,profiled,"underutilised: SM 3 %, DRAM 43 %, L2 20 %, occ 31 %",elementwise_binary,2.76,0.0,44.01,0.0,20.5,31.86,0.51,planner_debate
base,planner_debate,mir_operator:AddOp,False,0.84,profiled,"underutilised: SM 3 %, DRAM 50 %, L2 23 %, occ 39 %",elementwise_binary,3.19,0.0,51.74,0.0,23.89,38.96,0.67,planner_debate
base,planner_debate,mir_operator:LinearOp,False,2.8,profiled,tensor-core compute-bound,gemm,28.57,40.97,21.1,0.0,46.6,8.33,0.77,planner_debate
base,planner_debate,mir_operator:LinearOp,False,2.8,profiled,"underutilised: SM 32 %, DRAM 20 %, L2 51 %, occ 8 %",gemm,31.48,34.17,20.26,0.0,50.65,8.33,0.5,planner_debate
base,planner_debate,mir_operator:ViewOp,False,0.63,not_collected_cpu_process,host-side Python/CPU segment; no GPU counters exist for it,,,,,,,,,
base,planner_debate,mir_operator:TransposeOp,False,1.02,profiled,L2-bandwidth-bound (working set in L2),copy,5.37,0.0,12.63,0.0,80.56,87.96,1.02,planner_debate
base,planner_debate,mir_operator:TransposeOp,False,1.02,profiled,L2-bandwidth-bound (working set in L2),copy,6.98,0.0,17.13,0.0,79.66,81.21,1.33,planner_debate
