lineage,workload,iteration,launch_order,call_id,process,op_index,kind,family,gpu_ns,launch_latency_ns,gpu_start_rel_us
base,planner_debate,12,13,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_unary,2560,7809,816572.3
base,planner_debate,12,14,planner-seed,mir_operator:RMSNormOp,8,kernel,reduce,3200,8335,816598.9
base,planner_debate,12,15,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1184,7442,816619.3
base,planner_debate,12,16,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1216,7146,816638.5
base,planner_debate,12,17,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3392,8210,816660.7
base,planner_debate,12,18,planner-seed,mir_operator:RMSNormOp,8,kernel,copy,1984,7571,816683.8
base,planner_debate,12,19,planner-seed,mir_operator:LinearOp,10,kernel,gemm,14590,12328,816848.1
base,planner_debate,12,20,planner-seed,mir_operator:LinearOp,11,kernel,gemm,14589,10207,816979.9
base,planner_debate,12,21,planner-seed,mir_operator:LinearOp,12,kernel,gemm,14526,9861,817089.5
base,planner_debate,12,22,planner-seed,mir_operator:TransposeOp,14,kernel,copy,12062,13241,817322.8
base,planner_debate,12,23,planner-seed,d2h_stage,,memcpy,memcpy,123594,15662,817467.2
base,planner_debate,12,24,critic-a,h2d_stage,,memcpy,memcpy,148549,15909,828443.6
base,planner_debate,12,25,critic-a,weight_init,,kernel,rng_init,5055,83488,828761.2
base,planner_debate,12,26,critic-a,weight_init,,kernel,elementwise_binary,2016,35096,828767.0
base,planner_debate,12,27,critic-a,mir_operator:RMSNormOp,6,kernel,copy,4415,9376,828837.4
base,planner_debate,12,28,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_unary,3136,7421,828860.8
base,planner_debate,12,29,critic-a,mir_operator:RMSNormOp,6,kernel,reduce,3552,8901,828888.4
base,planner_debate,12,30,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1056,7477,828909.6
base,planner_debate,12,31,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1120,6937,828929.3
base,planner_debate,12,32,critic-a,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3968,7230,828951.5
base,planner_debate,12,33,critic-a,mir_operator:RMSNormOp,6,kernel,copy,2304,7487,828975.1
base,planner_debate,12,34,critic-a,mir_operator:AddOp,7,kernel,elementwise_binary,2048,9148,829104.1
base,planner_debate,12,35,critic-a,mir_operator:RMSNormOp,8,kernel,copy,4575,9890,829214.1
base,planner_debate,12,36,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_unary,3103,7408,829236.9
base,planner_debate,12,37,critic-a,mir_operator:RMSNormOp,8,kernel,reduce,3200,8778,829260.6
base,planner_debate,12,38,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_binary,1056,6935,829278.1
base,planner_debate,12,39,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_unary,1056,7548,829316.4
base,planner_debate,12,40,critic-a,mir_operator:RMSNormOp,8,kernel,elementwise_binary,3936,8485,829338.6
base,planner_debate,12,41,critic-a,mir_operator:RMSNormOp,8,kernel,copy,2271,7324,829360.7
base,planner_debate,12,42,critic-a,mir_operator:LinearOp,10,kernel,gemm,19900,12640,829521.9
base,planner_debate,12,43,critic-a,mir_operator:LinearOp,11,kernel,gemm,19645,9371,829638.7
base,planner_debate,12,44,critic-a,mir_operator:LinearOp,12,kernel,gemm,19645,8992,829743.5
base,planner_debate,12,45,critic-a,mir_operator:TransposeOp,14,kernel,copy,12766,11702,829954.2
base,planner_debate,12,46,critic-a,d2h_stage,,memcpy,memcpy,162019,15390,830071.6
base,planner_debate,12,47,critic-b,h2d_stage,,memcpy,memcpy,152837,15954,841429.2
base,planner_debate,12,48,critic-b,weight_init,,kernel,rng_init,5087,19147,841686.8
base,planner_debate,12,49,critic-b,weight_init,,kernel,elementwise_binary,2080,9524,841731.5
base,planner_debate,12,50,critic-b,mir_operator:RMSNormOp,6,kernel,copy,4288,9546,841826.0
base,planner_debate,12,51,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_unary,3136,7816,841849.9
base,planner_debate,12,52,critic-b,mir_operator:RMSNormOp,6,kernel,reduce,3487,8752,841878.0
base,planner_debate,12,53,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_binary,1056,7632,841899.1
base,planner_debate,12,54,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_unary,1056,7276,841918.9
base,planner_debate,12,55,critic-b,mir_operator:RMSNormOp,6,kernel,elementwise_binary,3967,7632,841941.8
base,planner_debate,12,56,critic-b,mir_operator:RMSNormOp,6,kernel,copy,2272,7843,841965.9
base,planner_debate,12,57,critic-b,mir_operator:AddOp,7,kernel,elementwise_binary,2112,9846,842108.3
base,planner_debate,12,58,critic-b,mir_operator:RMSNormOp,8,kernel,copy,4383,13310,842261.3
base,planner_debate,12,59,critic-b,mir_operator:RMSNormOp,8,kernel,elementwise_unary,3135,22545,842301.0
