lineage,workload,process,iteration,call_id,op_index,host_ns,median_ns,threshold_ns,excess_ns,classification,cuda_api_top,gpu_work_ns
base,react_tool,dag_schedule_gap,0,,,1196906,61983.0,218338,1134923,warm_or_first_iteration,cudaEventRecord,0
base,react_tool,dag_schedule_gap,1,,,1194524,61983.0,218338,1132541,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,2,,,1203266,61983.0,218338,1141283,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,3,,,1244536,61983.0,218338,1182553,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,4,,,1229296,61983.0,218338,1167313,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,5,,,1235967,61983.0,218338,1173984,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,6,,,1243523,61983.0,218338,1181540,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,7,,,1175197,61983.0,218338,1113214,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,8,,,1182531,61983.0,218338,1120548,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,9,,,1108853,61983.0,218338,1046870,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,10,,,1225511,61983.0,218338,1163528,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,11,,,1118949,61983.0,218338,1056966,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,12,,,1122149,61983.0,218338,1060166,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,13,,,1139142,61983.0,218338,1077159,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,14,,,1165534,61983.0,218338,1103551,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,15,,,1166182,61983.0,218338,1104199,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,16,,,1213548,61983.0,218338,1151565,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,17,,,1180614,61983.0,218338,1118631,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,18,,,1186826,61983.0,218338,1124843,sporadic,cudaEventRecord,0
base,react_tool,dag_schedule_gap,19,,,1224975,61983.0,218338,1162992,sporadic,cudaEventRecord,0
base,react_tool,adapter_dispatch,4,answer,,1813024,1229312.5,1447580,583712,sporadic,,0
base,react_tool,host_input_generate,4,answer,,8124617,5093904.5,5348600,3030712,sporadic,cudaEventQuery,0
base,react_tool,host_input_generate,5,plan,,8194767,5093904.5,5348600,3100862,sporadic,cudaEventQuery,0
base,react_tool,host_input_generate,16,plan,,5385410,5093904.5,5348600,291506,sporadic,cudaEventQuery,0
base,react_tool,h2d_stage,4,answer,,317136,179949.0,199174,137187,sporadic,cudaMemcpyAsync,82512
base,react_tool,h2d_stage,5,plan,,218783,179949.0,199174,38834,sporadic,cudaEventSynchronize,86127
base,react_tool,h2d_stage,19,answer,,199462,179949.0,199174,19513,sporadic,cudaEventSynchronize,83600
base,react_tool,weight_init,1,answer,,172942,149558.5,170000,23384,sporadic,cudaLaunchKernel,4991
base,react_tool,weight_init,4,answer,,173973,149558.5,170000,24414,sporadic,cudaLaunchKernel,4991
base,react_tool,weight_init,17,plan,,177829,149558.5,170000,28270,sporadic,cudaLaunchKernel,4990
base,react_tool,weight_init,19,plan,,172583,149558.5,170000,23024,sporadic,cudaLaunchKernel,4991
base,react_tool,inter_operator_dispatch,0,plan,,11193,7819.0,10314,3374,warm_or_first_iteration,,0
base,react_tool,inter_operator_dispatch,0,answer,,10423,7819.0,10314,2604,warm_or_first_iteration,,0
base,react_tool,inter_operator_dispatch,1,plan,,11687,7819.0,10314,3868,sporadic,,0
base,react_tool,inter_operator_dispatch,1,answer,,11242,7819.0,10314,3423,sporadic,,0
base,react_tool,inter_operator_dispatch,1,answer,,19127,7819.0,10314,11308,sporadic,,0
base,react_tool,inter_operator_dispatch,2,plan,,11677,7819.0,10314,3858,sporadic,,0
base,react_tool,inter_operator_dispatch,2,answer,,11005,7819.0,10314,3186,sporadic,,0
base,react_tool,inter_operator_dispatch,3,answer,,20294,7819.0,10314,12475,sporadic,,0
base,react_tool,inter_operator_dispatch,4,plan,,11726,7819.0,10314,3907,sporadic,,0
base,react_tool,inter_operator_dispatch,4,answer,,11046,7819.0,10314,3227,sporadic,,0
base,react_tool,inter_operator_dispatch,4,answer,,10331,7819.0,10314,2512,sporadic,,0
base,react_tool,inter_operator_dispatch,4,answer,,17573,7819.0,10314,9754,sporadic,,0
base,react_tool,inter_operator_dispatch,5,plan,,12564,7819.0,10314,4745,sporadic,,0
base,react_tool,inter_operator_dispatch,5,answer,,10819,7819.0,10314,3000,sporadic,,0
base,react_tool,inter_operator_dispatch,6,plan,,11536,7819.0,10314,3717,sporadic,,0
base,react_tool,inter_operator_dispatch,6,answer,,10568,7819.0,10314,2749,sporadic,,0
base,react_tool,inter_operator_dispatch,8,plan,,10754,7819.0,10314,2935,sporadic,,0
base,react_tool,inter_operator_dispatch,8,answer,,10835,7819.0,10314,3016,sporadic,,0
base,react_tool,inter_operator_dispatch,9,plan,,11487,7819.0,10314,3668,sporadic,,0
base,react_tool,inter_operator_dispatch,12,answer,,10448,7819.0,10314,2629,sporadic,,0
base,react_tool,inter_operator_dispatch,13,plan,,18743,7819.0,10314,10924,sporadic,,0
base,react_tool,inter_operator_dispatch,13,answer,,26109,7819.0,10314,18290,sporadic,,0
base,react_tool,inter_operator_dispatch,13,answer,,14496,7819.0,10314,6677,sporadic,,0
base,react_tool,inter_operator_dispatch,15,plan,,10331,7819.0,10314,2512,sporadic,,0
base,react_tool,inter_operator_dispatch,15,answer,,10583,7819.0,10314,2764,sporadic,,0
base,react_tool,inter_operator_dispatch,16,plan,,10331,7819.0,10314,2512,sporadic,,0
