lineage,workload,process,stack_rank,iteration,call_id,op_index,start_ns,end_ns,host_ns,gpu_work_ns,cuda_api_ns,cuda_api_top
base,react_tool,host_input_generate,1,5,plan,,3486964832,3495159599,8194767,0,9989,cudaEventQuery
base,react_tool,host_input_generate,2,4,answer,,3475214616,3483339233,8124617,0,11048,cudaEventQuery
base,react_tool,host_input_generate,3,16,plan,,3688982369,3694367779,5385410,0,7579,cudaEventQuery
base,react_tool,host_input_generate,4,1,plan,,3408627595,3413765699,5138104,0,8212,cudaEventQuery
base,react_tool,host_input_generate,5,0,plan,,3389937065,3395073790,5136725,0,8223,cudaEventQuery
base,react_tool,adapter_dispatch,1,4,answer,,3473232280,3475045304,1813024,0,0,
base,react_tool,adapter_dispatch,2,0,answer,,3398534053,3399892538,1358485,0,0,
base,react_tool,adapter_dispatch,3,7,answer,,3535826863,3537163624,1336761,0,0,
base,react_tool,adapter_dispatch,4,19,answer,,3753421234,3754742258,1321024,0,0,
base,react_tool,adapter_dispatch,5,15,answer,,3679062023,3680377142,1315119,0,0,
base,planner_debate,host_input_generate,1,17,critic-b,,4768560674,4784611655,16050981,0,6762,cudaEventQuery
base,planner_debate,host_input_generate,2,16,planner-seed,,4681327061,4694909387,13582326,0,8689,cudaEventQuery
base,planner_debate,host_input_generate,3,19,planner-final,,4927477065,4940012203,12535138,0,12593,cudaEventQuery
base,planner_debate,host_input_generate,4,4,critic-a,,3938314045,3950710902,12396857,0,9582,cudaEventQuery
base,planner_debate,host_input_generate,5,2,critic-merge,,3819485856,3831516350,12030494,0,12765,cudaEventQuery
base,react_moa_mcts,host_input_generate,1,9,moa-map2,,5229383168,5242508616,13125448,0,6273,cudaEventQuery
base,react_moa_mcts,host_input_generate,2,1,mcts-actor0,,4189560997,4202647881,13086884,0,7051,cudaEventQuery
base,react_moa_mcts,host_input_generate,3,5,moa-reduce,,4803560236,4816558117,12997881,0,6302,cudaEventQuery
base,react_moa_mcts,host_input_generate,4,4,moa-reduce,,4657728177,4670238995,12510818,0,6161,cudaEventQuery
base,react_moa_mcts,host_input_generate,5,4,mcts-actor1,,4642333826,4654844313,12510487,0,6215,cudaEventQuery
